Size;Time
10;0.002606216
20;0.001631996
30;0.001779354
40;0.00150044
50;0.001246812
60;0.001774613
70;9.16936E-4
80;0.001350713
90;9.48541E-4
100;0.001190713
110;8.35554E-4
120;0.001326615
130;0.001200985
140;0.001215602
150;0.001238515
160;0.001341626
170;0.001315948
180;8.30418E-4
190;8.35554E-4
200;7.39949E-4
210;9.84096E-4
220;8.45035E-4
230;0.001254713
240;0.001279207
250;7.4943E-4
260;0.001080491
270;9.78961E-4
280;0.001101824
290;0.001242466
300;0.001105775
310;0.001586564
320;0.001262614
330;0.001172936
340;0.00101096
350;0.001177282
360;0.001099059
370;0.001579453
380;8.76245E-4
390;7.81035E-4
400;8.4148E-4
410;9.24838E-4
420;7.75109E-4
430;0.001208491
440;0.001349133
450;7.55752E-4
460;8.81381E-4
470;8.65973E-4
480;7.35209E-4
490;7.42714E-4
500;9.62368E-4
510;9.18122E-4
520;8.29233E-4
530;0.001191503
540;0.002587649
550;0.001188738
560;0.001384293
570;0.001335306
580;7.17036E-4
590;7.41529E-4
600;7.29677E-4
610;7.34813E-4
620;9.76196E-4
630;0.00126696
640;0.001080096
650;0.001249182
660;0.001347552
670;0.001360589
680;0.001044935
690;0.001341231
700;9.17331E-4
710;7.71949E-4
720;0.001360194
730;0.001262614
740;0.001220343
750;0.001096293
760;0.001146862
770;0.001196639
780;0.001256294
790;0.00143249
800;0.001085627
810;0.001247602
820;0.001065083
830;0.001043751
840;0.001225874
850;0.001164639
860;0.001641478
870;0.00104059
880;0.001114861
890;0.001687305
900;0.001742614
910;0.001581428
920;0.001545083
930;0.001133429
940;0.001045331
950;0.001099059
960;9.88837E-4
970;0.001045726
980;0.001052837
990;0.001315158
