Size	Time-Insert	Time-Find
10	0.0030554	0.002606216
20	0.002192192	0.001631996
30	0.003963645	0.001779354
40	0.001779748	0.00150044
50	0.00130212	0.001246812
60	0.004040286	0.001774613
70	0.001467256	9.17E-04
80	0.001581428	0.001350713
90	0.001513478	9.49E-04
100	9.51E-04	0.001190713
110	0.001189528	8.36E-04
120	0.001050861	0.001326615
130	0.001307651	0.001200985
140	0.001405231	0.001215602
150	0.001566416	0.001238515
160	0.001275651	0.001341626
170	0.001426169	0.001315948
180	0.001076145	8.30E-04
190	8.38E-04	8.36E-04
200	7.46E-04	7.40E-04
210	0.001204935	9.84E-04
220	7.62E-04	8.45E-04
230	0.001302516	0.001254713
240	0.001290664	0.001279207
250	0.001274861	7.49E-04
260	7.76E-04	0.001080491
270	0.001422219	9.79E-04
280	9.17E-04	0.001101824
290	0.001286318	0.001242466
300	0.002304784	0.001105775
310	0.001021628	0.001586564
320	0.001352688	0.001262614
330	0.001251553	0.001172936
340	7.84E-04	0.00101096
350	0.001181232	0.001177282
360	0.001110121	0.001099059
370	0.001509922	0.001579453
380	7.89E-04	8.76E-04
390	7.41E-04	7.81E-04
400	7.94E-04	8.41E-04
410	8.66E-04	9.25E-04
420	9.60E-04	7.75E-04
430	0.001200985	0.001208491
440	9.25E-04	0.001349133
450	8.41E-04	7.56E-04
460	7.86E-04	8.81E-04
470	7.55E-04	8.66E-04
480	0.00100938	7.35E-04
490	7.35E-04	7.43E-04
500	0.001112491	9.62E-04
510	0.001094713	9.18E-04
520	7.50E-04	8.29E-04
530	0.001115652	0.001191503
540	0.001036639	0.002587649
550	0.00120375	0.001188738
560	0.001144886	0.001384293
570	0.0013918	0.001335306
580	9.74E-04	7.17E-04
590	7.58E-04	7.42E-04
600	7.66E-04	7.30E-04
610	7.85E-04	7.35E-04
620	7.90E-04	9.76E-04
630	9.09E-04	0.00126696
640	8.60E-04	0.001080096
650	0.0011678	0.001249182
660	0.001133429	0.001347552
670	0.001341231	0.001360589
680	0.004772729	0.001044935
690	0.001261824	0.001341231
700	0.001010565	9.17E-04
710	7.91E-04	7.72E-04
720	8.90E-04	0.001360194
730	0.001289874	0.001262614
740	0.001235355	0.001220343
750	0.001117627	0.001096293
760	0.001121972	0.001146862
770	0.001213232	0.001196639
780	0.001129478	0.001256294
790	0.001216393	0.00143249
800	0.00126617	0.001085627
810	0.001472391	0.001247602
820	0.001055603	0.001065083
830	8.87E-04	0.001043751
840	0.001166615	0.001225874
850	0.001183602	0.001164639
860	0.00165965	0.001641478
870	0.001518219	0.00104059
880	0.001069429	0.001114861
890	0.001776589	0.001687305
900	0.001874168	0.001742614
910	0.001642663	0.001581428
920	0.001600786	0.001545083
930	0.001542317	0.001133429
940	0.001417873	0.001045331
950	0.001092739	0.001099059
960	0.001154368	9.89E-04
970	0.001004639	0.001045726
980	0.001045331	0.001052837
990	0.0011998	0.001315158
