Size	Time-Insert	Time-Find
1000	0.02144311	0.003470214
1200	0.002292933	0.00330903
1400	0.003413326	0.003035647
1600	0.001959501	0.001737083
1800	0.00185244	0.002538661
2000	0.00240276	0.002197723
2200	0.002268835	0.002202859
2400	0.002541822	0.00220918
2600	0.002070513	0.00218034
2800	0.002204834	0.001901032
3000	0.00120454	0.001997033
3200	0.002732241	0.001149232
3400	0.001809773	0.00143407
3600	0.001156343	0.0011358
3800	0.001356244	0.001218368
4000	0.001406022	0.001077331
4200	8.74E-04	0.001344787
4400	0.001341626	0.001421034
4600	8.52E-04	0.001212442
4800	7.78E-04	0.001299355
5000	0.001236935	0.0013918
