Size	Time-Insert	Time-Find
1000	0.023406561	0.002816783
1200	0.00383999	0.003213425
1400	0.002552093	0.001872984
1600	0.002104094	0.001684539
1800	0.002760684	0.002263303
2000	0.002385377	0.002266859
2200	0.002397624	0.002119897
2400	0.00224513	0.002116341
2600	0.0021436	0.003005623
2800	0.002237624	0.001695601
3000	0.001736293	0.001508737
3200	9.30E-04	0.001020838
3400	0.001445923	0.001588935
3600	0.001020047	0.001544688
3800	0.001396145	1.00E-03
4000	0.001351108	8.73E-04
4200	0.001397725	0.001356244
4400	0.001356638	0.001182417
4600	0.001304096	8.68E-04
4800	0.001300145	0.001207306
5000	0.001325034	0.001348343
