Size;Time
100;22123
99;8296
98;5531
97;5926
96;5136
95;5135
94;5530
93;5925
92;6716
91;5926
90;4741
89;5136
88;10271
87;5135
86;6321
85;5531
84;5926
83;6321
82;4740
81;395851
80;5926
79;5136
78;5531
77;5136
76;4345
75;5926
74;6321
73;14617
72;3951
71;4741
70;3951
69;5136
68;3951
67;3555
66;5136
65;3556
64;2370
63;3951
62;3556
61;3950
60;4345
59;3555
58;3950
57;3951
56;2766
55;2765
54;3555
53;4346
52;3556
51;936691
50;4741
49;3160
48;5136
47;13037
46;6716
45;4741
44;3951
43;3951
42;5136
41;3950
40;2765
39;3161
38;3950
37;3951
36;4345
35;4346
34;3951
33;4740
32;4741
31;3950
30;2766
29;5136
28;2765
27;2765
26;3951
25;3951
24;3556
23;3161
22;3160
21;3950
20;3161
19;3161
18;3160
17;2766
16;3556
15;2371
14;2766
13;2370
12;2765
11;2370
10;3161
9;2370
8;17383
7;2370
6;1975
5;1580
4;1580
3;790
2;790
1;395
