Size;Time
100;7111
99;2765
98;1975
97;2765
96;2370
95;2766
94;2370
93;1975
92;1976
91;1975
90;1975
89;1976
88;2765
87;2370
86;1581
85;2370
84;2370
83;1975
82;1975
81;1581
80;1580
79;1581
78;1185
77;1581
76;1185
75;1581
74;1185
73;1185
72;1185
71;1185
70;1185
69;1580
68;1185
67;1581
66;1185
65;1185
64;1185
63;1185
62;1186
61;1185
60;1185
59;1185
58;1185
57;1580
56;4346
55;1185
54;1580
53;1976
52;1580
51;1580
50;1580
49;1975
48;7506
47;1976
46;1581
45;1580
44;1580
43;1580
42;1580
41;1580
40;1580
39;1581
38;3160
37;1580
36;1580
35;1580
34;1580
33;1580
32;1580
31;1185
30;1185
29;1580
28;1975
27;1580
26;1186
25;3161
24;2370
23;1975
22;1580
21;1581
20;1975
19;1580
18;1581
17;1975
16;1580
15;1975
14;1975
13;1975
12;1976
11;1580
10;1975
9;1975
8;1581
7;1975
6;1580
5;1975
4;1975
3;790
2;790
1;790
