Size;Time
1;11061
2;790
3;71901
4;5136
5;1581
6;2765
7;1975
8;1581
9;1581
10;2371
11;2371
12;2370
13;1975
14;2371
15;2371
16;2371
17;2370
18;3161
19;2370
20;2766
21;2370
22;2766
23;2371
24;2370
25;2371
26;2766
27;2765
28;2765
29;2766
30;2371
31;2766
32;2371
33;7111
34;3161
35;3555
36;3161
37;5136
38;4345
39;2765
40;3161
41;3160
42;4346
43;2766
44;3556
45;3161
46;2765
47;3161
48;3160
49;3556
50;3161
51;3160
52;3160
53;3161
54;8691
55;2371
56;2370
57;2370
58;2370
59;2766
60;2370
61;2766
62;3555
63;2765
64;3161
65;2371
66;1975
67;2370
68;2370
69;2765
70;2765
71;3160
72;3160
73;2766
74;9482
75;2371
76;2765
77;2371
78;2765
79;2371
80;3161
81;3160
82;3160
83;2766
84;7506
85;5926
86;2765
87;2765
88;3160
89;2370
90;2370
91;2370
92;2765
93;3556
94;3160
95;3160
96;3556
97;3160
98;2766
99;3555
100;3160
101;3160
102;3555
103;2371
104;3160
105;3161
106;4346
107;4345
108;3951
109;2766
110;46222
111;4345
112;3555
113;3161
114;207012
115;3951
116;1975
117;1975
118;1581
119;1580
120;1185
121;51753
122;1975
123;1976
124;2370
125;1580
126;1976
127;1581
128;4346
129;24889
130;1975
131;1975
132;790
133;1580
134;1185
135;1581
136;1580
137;1186
138;1185
139;1185
140;1580
141;790
142;790
143;1580
144;1975
145;1975
146;1976
147;1580
148;1976
149;1185
150;1581
151;1976
152;1581
153;1185
154;790
155;1185
156;1580
157;5136
158;1581
159;5531
160;790
161;2371
162;791
163;1580
164;1580
165;1185
166;790
167;790
168;1975
169;790
170;1580
171;1975
172;790
173;2766
174;1580
175;790
176;790
177;1186
178;1185
179;1185
180;1580
181;1580
182;1185
183;1185
184;1185
185;1185
186;1185
187;1185
188;1185
189;1580
190;1185
191;1580
192;1185
193;1186
194;1185
195;1185
196;1581
197;1975
198;1186
199;1185
200;1580
201;1185
202;1185
203;1185
204;1185
205;1581
206;1580
207;1186
208;1186
209;1580
210;1185
211;1185
212;1185
213;1185
214;1580
215;1185
216;1185
217;1185
218;1185
219;1185
220;1581
221;2370
222;1185
223;1185
224;1185
225;1185
226;1185
227;1185
228;1186
229;1185
230;1185
231;1186
232;1185
233;1185
234;1185
235;1185
236;790
237;1185
238;1185
239;1185
240;1185
241;1185
242;1185
243;1185
244;1975
245;1185
246;1580
247;1186
248;1580
249;1185
250;1185
251;1185
252;1580
253;1186
254;1185
255;3950
256;7506
257;1975
258;1185
259;1581
260;1580
261;1580
262;1580
263;1580
264;1186
265;1580
266;1185
267;1185
268;1185
269;1186
270;1580
271;1185
272;1581
273;1580
274;1580
275;1581
276;1580
277;1581
278;1581
279;1185
280;1185
281;1185
282;1186
283;1185
284;1580
285;1580
286;1580
287;1975
288;1580
289;1580
290;1185
291;1185
292;1580
293;1580
294;1580
295;1185
296;1581
297;1581
298;1186
299;1581
300;790
301;1580
302;1185
303;1185
304;1185
305;790
306;790
307;1185
308;1185
309;1185
310;1185
311;1186
312;791
313;1580
314;1185
315;1580
316;1580
317;1185
318;1185
319;1581
320;1580
321;1186
322;1185
323;1580
324;1185
325;1186
326;1580
327;1580
328;1185
329;1580
330;1580
331;1976
332;1580
333;1581
334;1580
335;1580
336;1581
337;1580
338;1185
339;2765
340;1185
341;1186
342;1580
343;1580
344;1580
345;1185
346;1185
347;1185
348;1186
349;1185
350;1185
351;1581
352;1580
353;1581
354;1580
355;1185
356;1185
357;1185
358;790
359;1580
360;1185
361;1185
362;1185
363;1580
364;1581
365;1580
366;1186
367;1185
368;1185
369;1580
370;1976
371;1580
372;1185
373;1185
374;2370
375;1185
376;1581
377;1580
378;1580
379;1185
380;1185
381;1975
382;1185
383;1580
384;4741
385;1580
386;1580
387;1186
388;1185
389;1185
390;1185
391;1185
392;1580
393;1185
394;1581
395;1185
396;1581
397;1580
398;1185
399;1581
400;1185
401;1186
402;1580
403;1186
404;1975
405;1185
406;1185
407;790
408;1185
409;1185
410;1186
411;1580
412;1580
413;1185
414;1580
415;1185
416;1975
417;1975
418;1581
419;1580
420;1185
421;1580
422;1186
423;1580
424;1185
425;1185
426;1580
427;1580
428;1580
429;1580
430;1581
431;1975
432;1580
433;1581
434;1580
435;1580
436;1581
437;1580
438;1185
439;1185
440;1185
441;1580
442;1581
443;1185
444;1185
445;1580
446;1185
447;1185
448;1185
449;1580
450;1185
451;1185
452;3950
453;1185
454;1581
455;1185
456;1580
457;1580
458;1185
459;1185
460;1185
461;1185
462;1185
463;1580
464;1975
465;1580
466;1185
467;1186
468;1580
469;1185
470;1185
471;1185
472;1185
473;1580
474;1580
475;1185
476;1185
477;1186
478;1185
479;17383
480;1976
481;1185
482;790
483;1185
484;1185
485;1185
486;790
487;1185
488;1185
489;1185
490;1185
491;790
492;790
493;1185
494;1185
495;790
496;1186
497;1185
498;1186
499;790
500;1185
501;1185
502;2371
503;1580
504;1185
505;1185
506;1185
507;790
508;1186
509;1185
510;1185
511;1185
512;10272
513;1186
514;1185
515;1581
516;1185
517;1580
518;1186
519;1185
520;1185
521;790
522;1185
523;790
524;1185
525;1185
526;1185
527;1580
528;1186
529;1185
530;1186
531;1185
532;1186
533;1185
534;1186
535;1185
536;1186
537;1580
538;2371
539;790
540;1185
541;1185
542;1185
543;1185
544;1185
545;1581
546;790
547;1185
548;1580
549;1185
550;1580
551;1186
552;1185
553;1185
554;1185
555;1185
556;1975
557;790
558;791
559;1580
560;1185
561;2766
562;1185
563;790
564;1580
565;1580
566;1185
567;1185
568;1185
569;1186
570;790
571;790
572;1185
573;790
574;1186
575;1185
576;1185
577;1186
578;1186
579;1185
580;1185
581;1185
582;1185
583;1186
584;1185
585;1185
586;1185
587;1185
588;1185
589;1185
590;1185
591;1185
592;1185
593;1580
594;1580
595;1186
596;1185
597;1185
598;1975
599;1975
600;1185
601;1975
602;790
603;1580
604;1185
605;1581
606;791
607;790
608;1975
609;1185
610;1580
611;1581
612;2766
613;1580
614;1581
615;1581
616;1976
617;11062
618;3160
619;1975
620;1580
621;1185
622;2371
623;3951
624;3161
625;1976
626;2370
627;3160
628;2371
629;1580
630;1580
631;2765
632;4741
633;2766
634;1185
635;1580
636;2370
637;1185
638;1976
639;1185
640;16592
641;1185
642;1185
643;1580
644;1581
645;1185
646;1185
647;1185
648;1185
649;1185
650;1185
651;1185
652;1185
653;1185
654;1185
655;1185
656;1185
657;1185
658;1185
659;1185
660;1185
661;1185
662;1185
663;6716
664;1580
665;1580
666;2371
667;1185
668;3161
669;11457
670;1185
671;1580
672;790
673;1185
674;790
675;1185
676;790
677;1975
678;2765
679;790
680;1185
681;1185
682;790
683;1186
684;790
685;790
686;790
687;1185
688;790
689;790
690;790
691;1185
692;790
693;1185
694;790
695;790
696;790
697;1185
698;790
699;1186
700;790
701;1975
702;1185
703;1185
704;1185
705;1185
706;1186
707;790
708;790
709;790
710;790
711;790
712;790
713;790
714;1185
715;1185
716;1185
717;1185
718;1185
719;1185
720;1580
721;1185
722;790
723;1185
724;1580
725;790
726;790
727;2370
728;1185
729;1185
730;1185
731;2370
732;790
733;790
734;1581
735;1185
736;1185
737;790
738;790
739;790
740;1186
741;790
742;1185
743;1185
744;1185
745;1185
746;790
747;1185
748;1185
749;790
750;1185
751;1185
752;1185
753;1185
754;790
755;1185
756;1185
757;1185
758;790
759;1185
760;790
761;790
762;1185
763;1580
764;790
765;790
766;3160
767;1185
768;791
769;790
770;395
771;790
772;790
773;790
774;790
775;790
776;1185
777;790
778;1185
779;790
780;1185
781;790
782;790
783;1185
784;1580
785;1185
786;1186
787;1185
788;1975
789;1975
790;1975
791;2371
792;3556
793;1975
794;1581
795;1185
796;1185
797;1975
798;1580
799;1580
800;1975
801;790
802;1975
803;1580
804;1186
805;1581
806;1185
807;1185
808;1975
809;1580
810;1185
811;4345
812;1975
813;2765
814;2765
815;1185
816;1975
817;791
818;1580
819;1186
820;1580
821;1185
822;1185
823;1185
824;1580
825;1580
826;1186
827;1581
828;1185
829;790
830;790
831;790
832;790
833;1185
834;1580
835;1185
836;1185
837;790
838;1185
839;3950
840;1185
841;1185
842;790
843;790
844;24889
845;790
846;790
847;1185
848;1581
849;1976
850;1185
851;1186
852;5136
853;1185
854;1580
855;790
856;1185
857;790
858;1185
859;1185
860;790
861;790
862;1186
863;1185
864;1185
865;1185
866;2765
867;1580
868;5136
869;1186
870;790
871;1580
872;1580
873;1186
874;1581
875;1185
876;1185
877;1185
878;1185
879;1185
880;790
881;1186
882;1185
883;790
884;790
885;1185
886;790
887;1185
888;790
889;790
890;1185
891;1185
892;1185
893;1976
894;790
895;1186
896;1185
897;1185
898;1976
899;790
900;1185
901;1185
902;790
903;790
904;790
905;1580
906;1185
907;1185
908;10271
909;1185
910;1580
911;790
912;1581
913;790
914;790
915;1185
916;1580
917;1185
918;1185
919;1185
920;1185
921;790
922;790
923;1185
924;1185
925;1185
926;1975
927;790
928;3556
929;1975
930;1580
931;1976
932;1185
933;1581
934;790
935;791
936;790
937;1185
938;790
939;790
940;790
941;791
942;790
943;790
944;1185
945;790
946;790
947;790
948;1185
949;1185
950;1185
951;1580
952;790
953;1975
954;1580
955;1185
956;1186
957;1185
958;3555
959;790
960;790
961;1580
962;790
963;790
964;790
965;790
966;790
967;1185
968;1185
969;790
970;2766
971;1185
972;790
973;1185
974;790
975;790
976;1975
977;1185
978;1185
979;1185
980;790
981;1186
982;1185
983;1186
984;791
985;1185
986;1185
987;1185
988;1185
989;790
990;1185
991;790
992;790
993;1185
994;1580
995;790
996;1185
997;1580
998;1185
999;1185
1000;1185
1001;790
1002;1185
1003;1185
1004;1185
1005;1185
1006;1185
1007;1975
1008;1186
1009;790
1010;1185
1011;791
1012;1185
1013;1186
1014;790
1015;790
1016;790
1017;790
1018;790
1019;790
1020;1185
1021;790
1022;1185
1023;790
1024;1186
1025;1580
1026;1185
1027;790
1028;1580
1029;1580
1030;1185
1031;1185
1032;1185
1033;790
1034;790
1035;790
1036;790
1037;790
1038;1581
1039;1185
1040;1185
1041;2370
1042;1185
1043;1186
1044;1185
1045;790
1046;1975
1047;1185
1048;790
1049;1185
1050;1186
1051;1185
1052;1185
1053;790
1054;790
1055;1580
1056;1185
1057;1185
1058;1185
1059;1185
1060;1186
1061;790
1062;790
1063;790
1064;1185
1065;1185
1066;790
1067;1975
1068;1185
1069;2371
1070;790
1071;790
1072;791
1073;790
1074;1185
1075;790
1076;790
1077;790
1078;790
1079;1186
1080;3951
1081;1185
1082;790
1083;790
1084;790
1085;790
1086;790
1087;1185
1088;1185
1089;790
1090;1185
1091;1186
1092;790
1093;1185
1094;790
1095;1580
1096;790
1097;790
1098;790
1099;1185
1100;790
1101;790
1102;790
1103;1185
1104;1185
1105;1185
1106;790
1107;1186
1108;1185
1109;1186
1110;791
1111;1185
1112;1976
1113;1185
1114;1185
1115;790
1116;1185
1117;1185
1118;1185
1119;790
1120;790
1121;1185
1122;1185
1123;790
1124;1185
1125;790
1126;791
1127;1185
1128;790
1129;791
1130;790
1131;790
1132;790
1133;1185
1134;790
1135;1186
1136;790
1137;790
1138;790
1139;1185
1140;1185
1141;790
1142;1185
1143;1186
1144;790
1145;1185
1146;790
1147;1185
1148;790
1149;790
1150;790
1151;20148
1152;5531
1153;4346
1154;395
1155;395
1156;395
1157;790
1158;395
1159;0
1160;1580
1161;395
1162;395
1163;0
1164;1185
1165;395
1166;395
1167;395
1168;395
1169;396
1170;395
1171;395
1172;395
1173;0
1174;395
1175;395
1176;395
1177;395
1178;790
1179;395
1180;395
1181;0
1182;395
1183;0
1184;395
1185;395
1186;395
1187;0
1188;396
1189;395
1190;395
1191;395
1192;395
1193;395
1194;791
1195;395
1196;395
1197;395
1198;395
1199;395
1200;395
1201;0
1202;395
1203;395
1204;395
1205;0
1206;395
1207;395
1208;395
1209;395
1210;0
1211;395
1212;0
1213;395
1214;395
1215;0
1216;0
1217;395
1218;395
1219;395
1220;395
1221;395
1222;395
1223;395
1224;395
1225;395
1226;395
1227;395
1228;396
1229;395
1230;0
1231;395
1232;0
1233;395
1234;0
1235;790
1236;395
1237;395
1238;395
1239;395
1240;395
1241;395
1242;7506
1243;395
1244;395
1245;395
1246;395
1247;0
1248;0
1249;395
1250;0
1251;395
1252;0
1253;0
1254;0
1255;0
1256;395
1257;395
1258;790
1259;395
1260;790
1261;395
1262;0
1263;0
1264;396
1265;1185
1266;790
1267;0
1268;395
1269;790
1270;395
1271;1185
1272;0
1273;396
1274;395
1275;0
1276;395
1277;395
1278;0
1279;0
1280;790
1281;396
1282;395
1283;790
1284;395
1285;790
1286;790
1287;395
1288;395
1289;790
1290;395
1291;790
1292;395
1293;1185
1294;1185
1295;395
1296;790
1297;0
1298;0
1299;395
1300;395
1301;395
1302;395
1303;1580
1304;395
1305;395
1306;790
1307;395
1308;790
1309;395
1310;790
1311;395
1312;395
1313;395
1314;395
1315;0
1316;790
1317;395
1318;395
1319;0
1320;395
1321;790
1322;395
1323;1186
1324;395
1325;395
1326;395
1327;395
1328;396
1329;395
1330;396
1331;395
1332;0
1333;395
1334;395
1335;0
1336;395
1337;395
1338;0
1339;395
1340;395
1341;790
1342;790
1343;395
1344;395
1345;395
1346;395
1347;395
1348;395
1349;395
1350;395
1351;395
1352;395
1353;395
1354;395
1355;395
1356;395
1357;395
1358;395
1359;395
1360;1185
1361;395
1362;0
1363;790
1364;790
1365;395
1366;790
1367;395
1368;790
1369;790
1370;1976
1371;396
1372;395
1373;790
1374;791
1375;395
1376;395
1377;1185
1378;395
1379;0
1380;395
1381;395
1382;1185
1383;396
1384;395
1385;395
1386;790
1387;395
1388;1580
1389;395
1390;395
1391;395
1392;395
1393;395
1394;396
1395;395
1396;395
1397;395
1398;0
1399;395
1400;395
1401;395
1402;395
1403;395
1404;395
1405;0
1406;0
1407;395
1408;395
1409;1185
1410;0
1411;395
1412;790
1413;395
1414;0
1415;395
1416;395
1417;0
1418;0
1419;395
1420;395
1421;395
1422;395
1423;396
1424;395
1425;395
1426;1185
1427;395
1428;395
1429;395
1430;395
1431;395
1432;396
1433;395
1434;1580
1435;791
1436;395
1437;395
1438;395
1439;0
1440;395
1441;395
1442;395
1443;0
1444;395
1445;395
1446;0
1447;395
1448;395
1449;395
1450;396
1451;395
1452;395
1453;395
1454;395
1455;395
1456;395
1457;0
1458;0
1459;395
1460;1185
1461;395
1462;0
1463;395
1464;395
1465;395
1466;0
1467;395
1468;395
1469;395
1470;396
1471;395
1472;395
1473;0
1474;395
1475;790
1476;395
1477;395
1478;395
1479;395
1480;395
1481;395
1482;396
1483;395
1484;1185
1485;395
1486;395
1487;395
1488;396
1489;395
1490;1185
1491;395
1492;0
1493;395
1494;395
1495;395
1496;395
1497;395
1498;395
1499;395
1500;395
1501;0
1502;0
1503;395
1504;395
1505;395
1506;395
1507;395
1508;396
1509;395
1510;395
1511;790
1512;790
1513;395
1514;395
1515;395
1516;395
1517;395
1518;396
1519;395
1520;395
1521;395
1522;395
1523;790
1524;0
1525;395
1526;395
1527;395
1528;395
1529;790
1530;395
1531;0
1532;395
1533;395
1534;790
1535;790
1536;395
1537;395
1538;395
1539;395
1540;395
1541;0
1542;395
1543;395
1544;395
1545;395
1546;395
1547;395
1548;395
1549;395
1550;790
1551;790
1552;395
1553;395
1554;395
1555;395
1556;395
1557;395
1558;0
1559;395
1560;790
1561;395
1562;395
1563;395
1564;395
1565;395
1566;0
1567;395
1568;790
1569;395
1570;0
1571;395
1572;395
1573;395
1574;396
1575;396
1576;0
1577;395
1578;395
1579;0
1580;396
1581;395
1582;395
1583;395
1584;395
1585;0
1586;395
1587;395
1588;0
1589;395
1590;395
1591;396
1592;395
1593;395
1594;395
1595;395
1596;395
1597;395
1598;395
1599;395
1600;1185
1601;395
1602;395
1603;0
1604;395
1605;395
1606;395
1607;395
1608;395
1609;395
1610;0
1611;395
1612;0
1613;0
1614;790
1615;395
1616;395
1617;395
1618;0
1619;395
1620;395
1621;0
1622;395
1623;395
1624;395
1625;395
1626;395
1627;395
1628;790
1629;395
1630;395
1631;395
1632;396
1633;395
1634;790
1635;395
1636;396
1637;395
1638;395
1639;790
1640;0
1641;395
1642;395
1643;0
1644;395
1645;395
1646;395
1647;790
1648;1185
1649;790
1650;790
1651;790
1652;790
1653;791
1654;1975
1655;790
1656;790
1657;791
1658;790
1659;1580
1660;1580
1661;1186
1662;395
1663;395
1664;395
1665;395
1666;395
1667;790
1668;1580
1669;395
1670;395
1671;396
1672;395
1673;0
1674;395
1675;395
1676;395
1677;395
1678;395
1679;0
1680;395
1681;395
1682;395
1683;0
1684;395
1685;395
1686;395
1687;395
1688;395
1689;395
1690;395
1691;395
1692;395
1693;790
1694;395
1695;395
1696;1581
1697;395
1698;395
1699;0
1700;395
1701;395
1702;395
1703;395
1704;790
1705;395
1706;395
1707;790
1708;1186
1709;395
1710;395
1711;395
1712;790
1713;395
1714;1185
1715;395
1716;395
1717;790
1718;395
1719;395
1720;3160
1721;790
1722;1580
1723;395
1724;790
1725;790
1726;1580
1727;395
1728;2765
1729;1185
1730;395
1731;395
1732;395
1733;395
1734;1185
1735;0
1736;395
1737;0
1738;395
1739;0
1740;395
1741;395
1742;395
1743;0
1744;395
1745;395
1746;396
1747;395
1748;395
1749;395
1750;395
1751;395
1752;395
1753;395
1754;0
1755;395
1756;395
1757;395
1758;395
1759;395
1760;790
1761;395
1762;395
1763;790
1764;0
1765;395
1766;791
1767;395
1768;396
1769;395
1770;791
1771;395
1772;395
1773;394
1774;0
1775;395
1776;395
1777;395
1778;395
1779;396
1780;395
1781;396
1782;395
1783;395
1784;396
1785;395
1786;395
1787;790
1788;395
1789;395
1790;395
1791;395
1792;790
1793;790
1794;395
1795;0
1796;395
1797;790
1798;395
1799;395
1800;395
1801;395
1802;395
1803;395
1804;395
1805;395
1806;395
1807;395
1808;395
1809;395
1810;395
1811;395
1812;1186
1813;395
1814;790
1815;395
1816;790
1817;395
1818;0
1819;395
1820;395
1821;790
1822;0
1823;395
1824;395
1825;395
1826;395
1827;0
1828;0
1829;395
1830;395
1831;395
1832;0
1833;395
1834;395
1835;395
1836;395
1837;395
1838;790
1839;396
1840;395
1841;395
1842;0
1843;395
1844;395
1845;395
1846;395
1847;395
1848;395
