Size;Time
0;8547
100;523
200;1749
300;1131
400;1052
500;1066
600;1096
700;1066
800;1078
900;2184
1000;1043
1100;1066
1200;1039
1300;1012
1400;980
1500;1050
1600;1130
1700;1093
1800;1106
1900;2313
2000;1148
2100;1082
2200;1020
2300;964
2400;982
2500;935
2600;928
2700;917
2800;960
2900;962
3000;990
3100;1000
3200;945
3300;1014
3400;963
3500;995
3600;984
3700;953
3800;996
3900;2349
4000;1041
4100;1023
4200;1093
4300;1007
4400;1079
4500;1103
4600;992
4700;1037
4800;1038
4900;1021
5000;1040
5100;998
5200;1018
5300;979
5400;1083
5500;794
5600;1556
5700;1024
5800;1024
5900;1002
6000;995
6100;1006
6200;1070
6300;938
6400;1093
6500;924
6600;1071
6700;1017
6800;1011
6900;1120
7000;941
7100;1070
7200;1000
7300;1056
7400;972
7500;958
7600;1281
7700;1094
7800;938
7900;3727
8000;1062
8100;997
8200;1013
8300;953
8400;1021
8500;978
8600;990
8700;1085
8800;1010
8900;1038
9000;967
9100;977
9200;1003
9300;933
9400;931
9500;981
9600;950
9700;1140
9800;689
9900;889
10000;968
10100;830
10200;927
10300;930
10400;1021
10500;961
10600;978
10700;1085
10800;925
10900;942
11000;883
11100;980
11200;1048
11300;984
11400;1011
11500;1057
11600;998
11700;1389
11800;1093
11900;1383
12000;1055
12100;1476
12200;1057
12300;1047
12400;978
12500;987
12600;984
12700;1036
12800;990
12900;1051
13000;994
13100;1006
13200;1024
13300;1038
13400;1027
13500;1064
13600;1141
13700;1056
13800;999
13900;1059
14000;1006
14100;992
14200;1027
14300;1044
14400;984
14500;957
14600;986
14700;986
14800;1006
14900;1033
15000;1015
15100;1037
15200;994
15300;991
15400;1028
15500;1025
15600;1082
15700;1022
15800;1057
15900;6390
16000;1033
16100;1129
16200;958
16300;1042
16400;974
16500;1068
16600;995
16700;1038
16800;1100
16900;952
17000;1055
17100;1055
17200;963
17300;1016
17400;956
17500;970
17600;1058
17700;1175
17800;1105
17900;1000
18000;716
18100;1094
18200;1636
18300;1062
18400;1058
18500;1051
18600;1036
18700;996
18800;677
18900;1026
19000;1089
19100;1078
19200;724
19300;1082
19400;1300
19500;981
19600;1019
19700;940
19800;972
19900;1024
20000;915
20100;1035
20200;1016
20300;989
20400;1042
20500;961
20600;993
20700;1031
20800;968
20900;994
21000;988
21100;1179
21200;1057
21300;948
21400;925
21500;1028
21600;996
21700;969
21800;979
21900;1017
22000;1024
22100;1014
22200;929
22300;947
22400;981
22500;973
22600;993
22700;964
22800;1000
22900;946
23000;961
23100;1045
23200;990
23300;1080
23400;1100
23500;971
23600;994
23700;969
23800;1018
23900;999
24000;1033
24100;1077
24200;1111
24300;837
24400;941
24500;1079
24600;1217
24700;1095
24800;1043
24900;984
25000;1030
25100;1121
25200;1031
25300;1042
25400;1059
25500;1163
25600;1017
25700;1027
25800;1146
25900;1090
26000;1137
26100;1011
26200;1058
26300;1046
26400;958
26500;1159
26600;1110
26700;1277
26800;1070
26900;990
27000;1021
27100;1004
27200;1068
27300;1104
27400;1098
27500;982
27600;1029
27700;997
27800;1092
27900;1083
28000;1405
28100;983
28200;1196
28300;1059
28400;1240
28500;1017
28600;4102
28700;1033
28800;1075
28900;1005
29000;1129
29100;1068
29200;1135
29300;1061
29400;1121
29500;1089
29600;1340
29700;1124
29800;1015
29900;1168
30000;1217
30100;1002
30200;1107
30300;1021
30400;954
30500;974
30600;1063
30700;1078
30800;1152
30900;1111
31000;1047
31100;1173
31200;959
31300;1147
31400;1066
31500;1321
31600;1123
31700;1108
31800;1023
31900;13634
32000;1305
32100;1020
32200;1050
32300;1140
32400;987
32500;1292
32600;1012
32700;1100
32800;965
32900;1060
33000;1070
33100;1110
33200;1123
33300;1349
33400;1015
33500;1047
33600;1112
33700;1153
33800;1037
33900;1191
34000;1057
34100;1061
34200;1102
34300;1040
34400;1063
34500;1092
34600;1044
34700;1130
34800;1100
34900;1153
35000;1031
35100;1293
35200;1082
35300;1466
35400;1414
35500;1808
35600;1061
35700;1123
35800;1174
35900;1040
36000;1012
36100;1101
36200;1265
36300;1095
36400;1058
36500;1246
36600;1108
36700;1025
36800;1052
36900;1113
37000;1166
37100;1063
37200;1315
37300;800
37400;977
37500;997
37600;1071
37700;1076
37800;1101
37900;1129
38000;1111
38100;1148
38200;1103
38300;1067
38400;1057
38500;1324
38600;1095
38700;1099
38800;1307
38900;1179
39000;1057
39100;1066
39200;1066
39300;1081
39400;1195
39500;1028
39600;975
39700;1079
39800;1073
39900;1220
40000;1067
40100;1023
40200;1044
40300;1094
40400;992
40500;1057
40600;1113
40700;2225
40800;1118
40900;1057
41000;1041
41100;1080
41200;953
41300;1014
41400;1067
41500;1161
41600;1040
41700;1193
41800;1089
41900;994
42000;1132
42100;1117
42200;1282
42300;952
42400;1409
42500;1046
42600;1084
42700;1503
42800;1358
42900;1096
43000;1109
43100;991
43200;1147
43300;1055
43400;1049
43500;1244
43600;1089
43700;1045
43800;986
43900;1236
44000;1016
44100;1198
44200;1175
44300;1371
44400;1072
44500;1072
44600;1232
44700;1079
44800;989
44900;1056
45000;1195
45100;1398
45200;995
45300;1142
45400;1033
45500;1042
45600;1035
45700;1589
45800;975
45900;1061
46000;1025
46100;1537
46200;1020
46300;1048
46400;1066
46500;1062
46600;1048
46700;1161
46800;1145
46900;1169
47000;1197
47100;1003
47200;1159
47300;1046
47400;1282
47500;1047
47600;1174
47700;1071
47800;1070
47900;1283
48000;1278
48100;1057
48200;1046
48300;1001
48400;1031
48500;1014
48600;1067
48700;1222
48800;1021
48900;1452
49000;1087
49100;1138
49200;1583
49300;1049
49400;1094
49500;1078
49600;1058
49700;1209
49800;1115
49900;1051
50000;1121
50100;1081
50200;1042
50300;1078
50400;1021
50500;1125
50600;1076
50700;1160
50800;1003
50900;1050
51000;1157
51100;1423
51200;1000
51300;1111
51400;1046
51500;1048
51600;1165
51700;1322
51800;1010
51900;1179
52000;1113
52100;1128
52200;1362
52300;1154
52400;1385
52500;1403
52600;1081
52700;993
52800;1025
52900;1116
53000;1709
53100;998
53200;1056
53300;1003
53400;1162
53500;1228
53600;1019
53700;1057
53800;1118
53900;993
54000;1000
54100;1019
54200;1137
54300;1099
54400;1066
54500;1227
54600;1082
54700;1063
54800;1090
54900;1034
55000;1116
55100;1082
55200;1046
55300;972
55400;1102
55500;1100
55600;1028
55700;1228
55800;1125
55900;1000
56000;1480
56100;1168
56200;1252
56300;1151
56400;1132
56500;1427
56600;1097
56700;1540
56800;1128
56900;1142
57000;1096
57100;1136
57200;1079
57300;1151
57400;1067
57500;1065
57600;1081
57700;1374
57800;988
57900;921
58000;1235
58100;1043
58200;1310
58300;987
58400;1326
58500;1001
58600;1166
58700;1235
58800;984
58900;1076
59000;1577
59100;1046
59200;1078
59300;1118
59400;991
59500;1132
59600;1016
59700;1142
59800;1064
59900;1168
60000;1050
60100;1033
60200;1180
60300;1094
60400;1014
60500;1093
60600;1064
60700;1088
60800;1021
60900;963
61000;1017
61100;1077
61200;1245
61300;1092
61400;1188
61500;1403
61600;959
61700;1058
61800;973
61900;1078
62000;1055
62100;1108
62200;1008
62300;1086
62400;1421
62500;1355
62600;1134
62700;1147
62800;1048
62900;1341
63000;1024
63100;1215
63200;933
63300;1162
63400;1029
63500;1067
63600;1133
63700;1064
63800;1362
63900;22054
64000;1091
64100;1365
64200;1168
64300;1195
64400;1233
64500;1004
64600;1024
64700;1260
64800;1022
64900;1036
65000;1109
65100;1087
65200;1209
65300;1065
65400;1087
65500;989
65600;1092
65700;1117
65800;1050
65900;1423
66000;1119
66100;1085
66200;1129
66300;1367
66400;1167
66500;1036
66600;1039
66700;1269
66800;1038
66900;1004
67000;1156
67100;1065
67200;1216
67300;1351
67400;993
67500;998
67600;1190
67700;1001
67800;1078
67900;1114
68000;1113
68100;1049
68200;1011
68300;1294
68400;979
68500;988
68600;1095
68700;1127
68800;1001
68900;1122
69000;1076
69100;1147
69200;1393
69300;1435
69400;1169
69500;979
69600;1222
69700;1023
69800;1104
69900;1013
70000;1439
70100;1016
70200;1112
70300;981
70400;1016
70500;936
70600;950
70700;1059
70800;993
70900;1038
71000;960
71100;1028
71200;987
71300;1010
71400;1057
71500;1102
71600;1065
71700;935
71800;1071
71900;2112
72000;1043
72100;1318
72200;1157
72300;1482
72400;1103
72500;1082
72600;1201
72700;1136
72800;1437
72900;1071
73000;982
73100;1026
73200;1023
