Size;Time
0;12925
100;3259
200;2581
300;6340
400;1865
500;2016
600;1638
700;1617
800;1624
900;3581
1000;3217
1100;1627
1200;1775
1300;2963
1400;1661
1500;1541
1600;2988
1700;2196
1800;2307
1900;3630
2000;1598
2100;3464
2200;1672
2300;2754
2400;2796
2500;3058
2600;1614
2700;2254
2800;1545
2900;1523
3000;3182
3100;3365
3200;1666
3300;2291
3400;1619
3500;1607
3600;8441
3700;2810
3800;1593
3900;3526
4000;1564
4100;1495
4200;2181
4300;3900
4400;1714
4500;1698
4600;1640
4700;4582
4800;2592
4900;3724
5000;1547
5100;2114
5200;2447
5300;2284
5400;1685
5500;2162
5600;4081
5700;1692
5800;1689
5900;2584
6000;1513
6100;4019
6200;1599
6300;2029
6400;2917
6500;12509
6600;1679
6700;1695
6800;3032
6900;1682
7000;3357
7100;3550
7200;1550
7300;2596
7400;5086
7500;2272
7600;2539
7700;2421
7800;1673
7900;4385
8000;4417
8100;5595
8200;1589
8300;2125
8400;1550
8500;1511
8600;4955
8700;4656
8800;1787
8900;1554
9000;1634
9100;3581
9200;1619
9300;2556
9400;2139
9500;4212
9600;1651
9700;1747
9800;1517
9900;1622
10000;2587
10100;2547
10200;2867
10300;2147
10400;1530
10500;1861
10600;2744
10700;2875
10800;1543
10900;3633
11000;2402
11100;1570
11200;2280
11300;2105
11400;1520
11500;2810
11600;1594
11700;3403
11800;1550
11900;1711
12000;1600
12100;4095
12200;1704
12300;1542
12400;1635
12500;1690
12600;1504
12700;4851
12800;3443
12900;4033
13000;1725
13100;2247
13200;2780
13300;2447
13400;2267
13500;3601
13600;1604
13700;2699
13800;1861
13900;2272
14000;2672
14100;1573
14200;2095
14300;2631
14400;1847
14500;2101
14600;1700
14700;2208
14800;2328
14900;3501
15000;1577
15100;2464
15200;3212
15300;1683
15400;2683
15500;2820
15600;2829
15700;1926
15800;4333
15900;7195
16000;2365
16100;1638
16200;2588
16300;2483
16400;2571
16500;2211
16600;2560
16700;2154
16800;1598
16900;1607
17000;2924
17100;2072
17200;1539
17300;1587
17400;1598
17500;2058
17600;2218
17700;1602
17800;2489
17900;3493
18000;1844
18100;1525
18200;1470
18300;1513
18400;3368
18500;2228
18600;1574
18700;1612
18800;2781
18900;2064
19000;1849
19100;1569
19200;1890
19300;1556
19400;1601
19500;2209
19600;2892
19700;2444
19800;3025
19900;2835
20000;5944
20100;4102
20200;1683
20300;2090
20400;1610
20500;1483
20600;3016
20700;2954
20800;3642
20900;2318
21000;1704
21100;5311
21200;2040
21300;2841
21400;1620
21500;1595
21600;3048
21700;1513
21800;2154
21900;2088
22000;3842
22100;2519
22200;2492
22300;2811
22400;1607
22500;1539
22600;2110
22700;3581
22800;4339
22900;4087
23000;1518
23100;2914
