Words;Time;CompressedFileSize;InitialFileSize
0;25859951;64;11
1;30266074;43;11
2;32328691;43;11
3;34497184;43;11
4;38960591;43;11
5;45473184;43;11
6;69231407;43;11
7;147104000;43;11
8;225292642;43;11
9;259751111;43;11
10;261427357;43;11
11;263054616;43;11
12;264653431;43;11
13;265843752;43;11
14;326678913;43;11
15;398291752;43;11
16;413799506;43;11
17;415010370;43;11
18;416172642;43;11
19;422799803;43;11
20;425930272;43;11
21;427041186;43;11
22;450484149;43;11
23;463260050;43;11
24;480699655;43;11
25;482918322;43;11
26;484091656;43;11
27;485959508;43;11
28;487367508;43;11
29;489003459;43;11
30;493246027;43;11
31;494349039;43;11
32;495404249;43;11
33;496354767;43;11
34;497690866;43;11
35;498988644;43;11
36;501638323;43;11
37;502658372;43;11
38;504078223;43;11
39;507283359;43;11
40;508423508;43;11
41;509310816;43;11
42;510130569;43;11
43;511742816;43;11
44;513410767;43;11
45;514385779;43;11
46;515722273;43;11
47;516571655;43;11
48;517372445;43;11
49;518220643;43;11
50;519057384;43;11
51;519909137;43;11
52;520845829;43;11
53;524062026;43;11
54;525779359;43;11
55;526673384;43;11
56;569758026;43;11
57;683570965;43;11
58;685169780;43;11
59;743081878;43;11
60;761136594;43;11
61;785548248;43;11
62;787360396;43;11
63;788376099;43;11
64;789243654;43;11
65;794613728;43;11
66;795496691;43;11
67;796515556;43;11
68;797499259;43;11
69;798405136;43;11
70;810025482;43;11
71;847950223;43;11
72;896532544;43;11
73;900627359;43;11
74;903245433;43;11
75;910792297;43;11
76;912857285;43;11
77;914273186;43;11
78;916036742;43;11
79;929943705;43;11
80;931647211;43;11
81;935689087;43;11
82;937906963;43;11
83;990641777;43;11
84;1030088295;43;11
85;1033755258;43;11
86;1046864592;43;11
87;1077858370;43;11
88;1083941136;43;11
89;1085124346;43;11
90;1087397926;43;11
91;1088547555;43;11
92;1089694025;43;11
93;1091646420;43;11
94;1093089975;43;11
95;1094377876;43;11
96;1095508542;43;11
97;1096648295;43;11
98;1099733332;43;11
99;1103798122;43;11
100;1114093036;43;11
