Words;Time;CompressedFileSize;InitialFileSize
0;115392395;394;187
1;117323852;391;187
2;125101827;391;187
3;126526814;391;187
4;127943505;391;187
5;130060246;391;187
6;133445530;391;187
7;147124147;391;187
8;180191999;391;187
9;181948444;391;187
10;184653432;391;187
11;186330864;391;187
12;196679506;391;187
13;198181926;391;187
14;199622321;391;187
15;223988938;391;187
16;233870222;391;187
17;240155654;391;187
18;265178468;391;187
19;275621529;391;187
20;277970961;391;187
21;279329973;391;187
22;280749824;391;187
23;294308738;391;187
24;297886417;391;187
25;299529479;391;187
26;307028541;391;187
27;308823307;391;187
28;311706073;391;187
29;353754863;391;187
30;396144591;391;187
31;455652739;391;187
32;579896887;391;187
33;692891257;391;187
34;710151899;391;187
35;721409578;391;187
36;761095109;391;187
37;775574121;391;187
38;782858269;391;187
39;786298071;391;187
40;858023503;391;187
41;870351799;391;187
42;871715157;391;187
43;874632293;391;187
44;875740441;391;187
45;876908639;391;187
46;882661528;391;187
47;883757825;391;187
48;884850171;391;187
49;886162961;391;187
50;887490763;391;187
51;888948146;391;187
52;891540146;391;187
53;893692442;391;187
54;898484935;391;187
55;900395454;391;187
56;901646614;391;187
57;904191207;391;187
58;916796047;391;187
59;920457084;391;187
60;922403159;391;187
61;925218764;391;187
62;939432690;391;187
63;941881282;391;187
64;944324739;391;187
65;948463406;391;187
66;1003095702;391;187
67;1045709431;391;187
68;1047442567;391;187
69;1057216394;391;187
70;1058618073;391;187
71;1061824790;391;187
72;1086042864;391;187
73;1111581235;391;187
74;1121093531;391;187
75;1122387753;391;187
76;1128232691;391;187
77;1129638321;391;187
78;1131044345;391;187
79;1132410469;391;187
80;1133658864;391;187
81;1135622321;391;187
82;1138167704;391;187
83;1139736889;391;187
84;1146209975;391;187
85;1147895704;391;187
86;1151584000;391;187
87;1152996741;391;187
88;1154814024;391;187
89;1156853728;391;187
90;1158748049;391;187
91;1164856888;391;187
92;1166314270;391;187
93;1177552196;391;187
94;1179117036;391;187
95;1180871900;391;187
96;1182432394;391;187
97;1193131851;391;187
98;1194659160;391;187
99;1195989333;391;187
100;1197265383;391;187
