Words;Time;CompressedFileSize;InitialFileSize
0;71183802;630;63
1;87184593;181;63
2;95630617;181;63
3;97275654;181;63
4;98576592;181;63
5;100574025;181;63
6;117795556;181;63
7;126132149;181;63
8;127841186;181;63
9;147652741;181;63
10;166188248;181;63
11;167911113;181;63
12;185929483;181;63
13;237490569;181;63
14;243734915;181;63
15;261108940;181;63
16;272203854;181;63
17;273976891;181;63
18;275649187;181;63
19;277089187;181;63
20;307510915;181;63
21;393254717;181;63
22;417596840;181;63
23;419291259;181;63
24;427478519;181;63
25;430227359;181;63
26;453407211;181;63
27;454594371;181;63
28;469108544;181;63
29;485490174;181;63
30;486814026;181;63
31;488293532;181;63
32;489741434;181;63
33;491384100;181;63
34;492542816;181;63
35;495738075;181;63
36;496965927;181;63
37;498004150;181;63
38;498951113;181;63
39;500527409;181;63
40;501642273;181;63
41;502824297;181;63
42;504647112;181;63
43;506378272;181;63
44;510815605;181;63
45;514377481;181;63
46;518025876;181;63
47;519139950;181;63
48;520036345;181;63
49;521922764;181;63
50;526838122;181;63
51;528751406;181;63
52;529911307;181;63
53;532964344;181;63
54;684915752;181;63
55;744077826;181;63
56;752449184;181;63
57;754360097;181;63
58;783058171;181;63
59;785857579;181;63
60;787507357;181;63
61;796336592;181;63
62;812024493;181;63
63;849748542;181;63
64;899252937;181;63
65;900622616;181;63
66;901741035;181;63
67;981882862;181;63
68;987010368;181;63
69;992461035;181;63
70;1000134319;181;63
71;1001179257;181;63
72;1002238813;181;63
73;1003442567;181;63
74;1009807406;181;63
75;1013221134;181;63
76;1015041183;181;63
77;1016697676;181;63
78;1018210367;181;63
79;1021310417;181;63
80;1031573331;181;63
81;1033132245;181;63
82;1034341924;181;63
83;1047441381;181;63
84;1048857677;181;63
85;1050186664;181;63
86;1051223701;181;63
87;1055121380;181;63
88;1079345775;181;63
89;1097399306;181;63
90;1098979553;181;63
91;1102092244;181;63
92;1104885725;181;63
93;1106480589;181;63
94;1107516836;181;63
95;1116889281;181;63
96;1118376689;181;63
97;1120186467;181;63
98;1121465677;181;63
99;1122775307;181;63
100;1124464196;181;63
