Words;Time;CompressedFileSize;InitialFileSize
0;134884212;20678;34500
1;291613657;26146;34500
2;419914312;26146;34500
3;516777661;26146;34500
4;679820972;26146;34500
5;810837868;26146;34500
6;850322492;26146;34500
7;902944916;26146;34500
8;966395608;26146;34500
9;1045109931;26146;34500
10;1131162166;26146;34500
11;1164035873;26146;34500
12;1194064139;26146;34500
13;1231159974;26146;34500
14;1317040015;26146;34500
15;1345397149;26146;34500
16;1372943253;26146;34500
17;1402941553;26146;34500
18;1435325820;26146;34500
19;1459228700;26146;34500
20;1495819894;26146;34500
21;1526876549;26146;34500
22;1605520300;26146;34500
23;1803004439;26146;34500
24;1843887898;26146;34500
25;1875861547;26146;34500
26;1903308851;26146;34500
27;1938254101;26146;34500
28;1965607599;26146;34500
29;1993106366;26146;34500
30;2023520494;26146;34500
31;2052150359;26146;34500
32;2088421484;26146;34500
33;2141955258;26146;34500
34;2180789322;26146;34500
35;2213496480;26146;34500
36;2246670278;26146;34500
37;2308689781;26146;34500
38;2338304606;26146;34500
39;2404879769;26146;34500
40;2428789164;26146;34500
41;2455019816;26146;34500
42;2489238940;26146;34500
43;2526287871;26146;34500
44;2552498981;26146;34500
45;2580993348;26146;34500
46;2608160755;26146;34500
47;2630695851;26146;34500
48;2671377150;26146;34500
49;2692265434;26146;34500
50;2717284429;26146;34500
51;2740926086;26146;34500
52;2764395983;26146;34500
53;2787686303;26146;34500
54;2828668345;26146;34500
55;2860708657;26146;34500
56;2910242005;26146;34500
57;2964575950;26146;34500
58;3000992995;26146;34500
59;3076149647;26146;34500
60;3103552654;26146;34500
61;3185923013;26146;34500
62;3209009001;26146;34500
63;3231420977;26146;34500
64;3255332108;26146;34500
65;3277292861;26146;34500
66;3299570208;26146;34500
67;3320394001;26146;34500
68;3342951463;26146;34500
69;3373217066;26146;34500
70;3395259465;26146;34500
71;3417069738;26146;34500
72;3440872298;26146;34500
73;3466136881;26146;34500
74;3498733948;26146;34500
75;3523573149;26146;34500
76;3586227361;26146;34500
77;3620158988;26146;34500
78;3646972018;26146;34500
79;3667019308;26146;34500
80;3685612174;26146;34500
81;3704532274;26146;34500
82;3724543518;26146;34500
83;3743397824;26146;34500
84;3762100782;26146;34500
85;3780570527;26146;34500
86;3799483462;26146;34500
87;3816284464;26146;34500
88;3841440042;26146;34500
89;3886614898;26146;34500
90;3904445158;26146;34500
91;3923337898;26146;34500
92;3940692832;26146;34500
93;3958733503;26146;34500
94;3976307100;26146;34500
95;3993802525;26146;34500
96;4010983310;26146;34500
97;4027096838;26146;34500
98;4043950172;26146;34500
99;4060381814;26146;34500
100;4077463799;26146;34500
