Words;Time;CompressedFileSize;InitialFileSize
0;46977975;5980;9517
1;100391111;12589;9517
2;131569383;12589;9517
3;191009186;12589;9517
4;285410371;12589;9517
5;307983408;12589;9517
6;338788346;12589;9517
7;366096593;12589;9517
8;425008988;12589;9517
9;459667358;12589;9517
10;489030716;12589;9517
11;513604345;12589;9517
12;539817086;12589;9517
13;617695605;12589;9517
14;642545383;12589;9517
15;681695210;12589;9517
16;705075358;12589;9517
17;730192987;12589;9517
18;778702617;12589;9517
19;800609580;12589;9517
20;819272691;12589;9517
21;922051160;12589;9517
22;943888592;12589;9517
23;972762074;12589;9517
24;990950321;12589;9517
25;1015611654;12589;9517
26;1031450073;12589;9517
27;1050015209;12589;9517
28;1068052937;12589;9517
29;1100570073;12589;9517
30;1119237135;12589;9517
31;1140826073;12589;9517
32;1154457678;12589;9517
33;1169149234;12589;9517
34;1191725431;12589;9517
35;1207851060;12589;9517
36;1224881776;12589;9517
37;1240063208;12589;9517
38;1255343800;12589;9517
39;1267714368;12589;9517
40;1286634664;12589;9517
41;1299213824;12589;9517
42;1310931750;12589;9517
43;1322632688;12589;9517
44;1335626268;12589;9517
45;1347344984;12589;9517
46;1357993873;12589;9517
47;1370993379;12589;9517
48;1411050663;12589;9517
49;1429333329;12589;9517
50;1439451650;12589;9517
51;1450346267;12589;9517
52;1460643551;12589;9517
53;1469350712;12589;9517
54;1476835552;12589;9517
55;1487967997;12589;9517
56;1499438614;12589;9517
57;1507601379;12589;9517
58;1516568095;12589;9517
59;1523792589;12589;9517
60;1532169478;12589;9517
61;1540457083;12589;9517
62;1550761083;12589;9517
63;1562252638;12589;9517
64;1571849873;12589;9517
65;1585134614;12589;9517
66;1600342515;12589;9517
67;1611109527;12589;9517
68;1621986762;12589;9517
69;1633002663;12589;9517
70;1643706860;12589;9517
71;1653581033;12589;9517
72;1680073082;12589;9517
73;1692552687;12589;9517
74;1703631798;12589;9517
75;1712531749;12589;9517
76;1722332441;12589;9517
77;1730598713;12589;9517
78;1739913084;12589;9517
79;1752169480;12589;9517
80;1763324048;12589;9517
81;1771967208;12589;9517
82;1791573726;12589;9517
83;1803350121;12589;9517
84;1813174911;12589;9517
85;1825101429;12589;9517
86;1834662318;12589;9517
87;1843866071;12589;9517
88;1853733923;12589;9517
89;1863095701;12589;9517
90;1871735701;12589;9517
91;1886614516;12589;9517
92;1895696985;12589;9517
93;1904943799;12589;9517
94;1915491552;12589;9517
95;1924982910;12589;9517
96;1932807897;12589;9517
97;1941549427;12589;9517
98;1952095600;12589;9517
99;1961611846;12589;9517
100;1977088784;12589;9517
