Words;Time;CompressedFileSize;InitialFileSize
0;64683631;2435;3615
1;108384086;1956;3615
2;148446962;1956;3615
3;176266667;1956;3615
4;186255894;1956;3615
5;195672733;1956;3615
6;211418854;1956;3615
7;234671825;1956;3615
8;344731168;1956;3615
9;383462740;1956;3615
10;425916577;1956;3615
11;454564030;1956;3615
12;485915347;1956;3615
13;503780784;1956;3615
14;508300398;1956;3615
15;514584081;1956;3615
16;559155930;1956;3615
17;588248744;1956;3615
18;600754224;1956;3615
19;715728164;1956;3615
20;719831732;1956;3615
21;779475474;1956;3615
22;802928868;1956;3615
23;810678049;1956;3615
24;819822807;1956;3615
25;843720475;1956;3615
26;849324935;1956;3615
27;910264804;1956;3615
28;914891252;1956;3615
29;930521202;1956;3615
30;961719434;1956;3615
31;989101813;1956;3615
32;1017270900;1956;3615
33;1021065908;1956;3615
34;1025378584;1956;3615
35;1046589542;1956;3615
36;1110593732;1956;3615
37;1141233906;1956;3615
38;1167822627;1956;3615
39;1170754057;1956;3615
40;1185973607;1956;3615
41;1197946653;1956;3615
42;1201405089;1956;3615
43;1204058359;1956;3615
44;1209000750;1956;3615
45;1212041186;1956;3615
46;1221915979;1956;3615
47;1229124474;1956;3615
48;1231968612;1956;3615
49;1238847266;1956;3615
50;1243875212;1956;3615
51;1246526528;1956;3615
52;1253966932;1956;3615
53;1257071425;1956;3615
54;1263078902;1956;3615
55;1269296791;1956;3615
56;1275432383;1956;3615
57;1298703594;1956;3615
58;1312668926;1956;3615
59;1325776544;1956;3615
60;1337687053;1956;3615
61;1345121811;1956;3615
62;1351764214;1956;3615
63;1358570777;1956;3615
64;1366506918;1956;3615
65;1375582408;1956;3615
66;1381027919;1956;3615
67;1393647399;1956;3615
68;1410529830;1956;3615
69;1413295363;1956;3615
70;1416176199;1956;3615
71;1426957130;1956;3615
72;1432306012;1956;3615
73;1437952380;1956;3615
74;1444908771;1956;3615
75;1456942400;1956;3615
76;1475565014;1956;3615
77;1484184721;1956;3615
78;1489207889;1956;3615
79;1492095890;1956;3615
80;1495863537;1956;3615
81;1498828624;1956;3615
82;1502752832;1956;3615
83;1564929764;1956;3615
84;1570488841;1956;3615
85;1573557940;1956;3615
86;1580194046;1956;3615
87;1601407393;1956;3615
88;1780291934;1956;3615
89;1802389053;1956;3615
90;1813817721;1956;3615
91;1832833147;1956;3615
92;1859790577;1956;3615
93;1862808864;1956;3615
94;1865985014;1956;3615
95;1877528334;1956;3615
96;1881832976;1956;3615
97;1893723507;1956;3615
98;1899238504;1956;3615
99;1907371376;1956;3615
100;1915134237;1956;3615
