Words;Time;CompressedFileSize;InitialFileSize
0;31452071;112;14
1;60968748;54;14
2;84143548;54;14
3;114605230;54;14
4;135004291;54;14
5;155348197;54;14
6;196474205;54;14
7;206437375;54;14
8;207697673;54;14
9;248755064;54;14
10;307616223;54;14
11;327328460;54;14
12;367683393;54;14
13;399717625;54;14
14;414113552;54;14
15;440068433;54;14
16;453012108;54;14
17;472295488;54;14
18;485050683;54;14
19;523212255;54;14
20;531268041;54;14
21;553714760;54;14
22;576000142;54;14
23;660051839;54;14
24;697362428;54;14
25;743332896;54;14
26;760950790;54;14
27;800936580;54;14
28;829267005;54;14
29;866356976;54;14
30;882228389;54;14
31;894757755;54;14
32;924645964;54;14
33;929124972;54;14
34;967167550;54;14
35;969038888;54;14
36;970692649;54;14
37;971919073;54;14
38;993584728;54;14
39;995737701;54;14
40;1013826360;54;14
41;1074591646;54;14
42;1100622744;54;14
43;1102648037;54;14
44;1103886621;54;14
45;1127334586;54;14
46;1141152695;54;14
47;1154243158;54;14
48;1157499651;54;14
49;1167468902;54;14
50;1168923543;54;14
51;1170636584;54;14
52;1177208632;54;14
53;1185066384;54;14
54;1192682456;54;14
55;1206556805;54;14
56;1212757322;54;14
57;1219271176;54;14
58;1221471703;54;14
59;1224726242;54;14
60;1226976494;54;14
61;1270147554;54;14
62;1278849341;54;14
63;1289689769;54;14
64;1298458002;54;14
65;1300156060;54;14
66;1302534427;54;14
67;1305738805;54;14
68;1308474807;54;14
69;1317095817;54;14
70;1321813465;54;14
71;1335944260;54;14
72;1338861576;54;14
73;1342216434;54;14
74;1354430943;54;14
75;1369104812;54;14
76;1372635556;54;14
77;1375203923;54;14
78;1376524370;54;14
79;1383932420;54;14
80;1387494650;54;14
81;1391232983;54;14
82;1392691315;54;14
83;1394906173;54;14
84;1405072806;54;14
85;1415985977;54;14
86;1421725066;54;14
87;1423556666;54;14
88;1427587491;54;14
89;1428705994;54;14
90;1432435859;54;14
91;1444310756;54;14
92;1449838781;54;14
93;1453672006;54;14
94;1456391722;54;14
95;1457613585;54;14
96;1459115780;54;14
97;1463002856;54;14
98;1464417325;54;14
99;1465587508;54;14
100;1526238576;54;14
