Words;Time;CompressedFileSize;InitialFileSize
0;1069770421;455907;797350
1;1537698298;428091;797350
2;2370910357;428091;797350
3;2848104592;428091;797350
4;3370742940;428091;797350
5;3772644808;428091;797350
6;4110490155;428091;797350
7;4390315338;428091;797350
8;4692513411;428091;797350
9;5083271502;428091;797350
10;5371380906;428091;797350
11;5646644132;428091;797350
12;5916313321;428091;797350
13;6209875836;428091;797350
14;6501285378;428091;797350
15;6778201279;428091;797350
16;7048884092;428091;797350
17;7325046290;428091;797350
18;7626350603;428091;797350
19;7949179212;428091;797350
20;8224286095;428091;797350
21;8487369773;428091;797350
22;8753746424;428091;797350
23;9038540706;428091;797350
24;9325089069;428091;797350
25;9588573158;428091;797350
26;9858703993;428091;797350
27;10143234881;428091;797350
28;10424696453;428091;797350
29;10729798813;428091;797350
30;11014661930;428091;797350
31;11285713669;428091;797350
32;11608399615;428091;797350
33;11893245794;428091;797350
34;12203203688;428091;797350
35;12494390008;428091;797350
36;12782276189;428091;797350
37;13047453994;428091;797350
38;13323938432;428091;797350
39;13607105444;428091;797350
40;13873339215;428091;797350
41;14135992949;428091;797350
42;14412362302;428091;797350
43;14715292581;428091;797350
44;15006413106;428091;797350
45;15278227451;428091;797350
46;15556104861;428091;797350
47;15832182156;428091;797350
48;16124462659;428091;797350
49;16414361755;428091;797350
50;16717577577;428091;797350
51;16992410643;428091;797350
52;17255152103;428091;797350
53;17538458739;428091;797350
54;17830277161;428091;797350
55;18100838808;428091;797350
56;18372693975;428091;797350
57;18651399134;428091;797350
58;18919562654;428091;797350
59;19193788805;428091;797350
60;19459187443;428091;797350
61;19726969660;428091;797350
62;20007645609;428091;797350
63;20290105604;428091;797350
64;20569046363;428091;797350
65;20846870791;428091;797350
66;21114700128;428091;797350
67;21381276333;428091;797350
68;21657419205;428091;797350
69;21935402581;428091;797350
70;22203603884;428091;797350
71;22477270241;428091;797350
72;22759531985;428091;797350
73;23019925912;428091;797350
74;23287914849;428091;797350
75;23570921827;428091;797350
76;23838883404;428091;797350
77;24116935180;428091;797350
78;24393863458;428091;797350
79;24665742946;428091;797350
80;24928541081;428091;797350
81;25197824190;428091;797350
82;25465513252;428091;797350
83;25742604822;428091;797350
84;26022748770;428091;797350
85;26300377552;428091;797350
86;26566963528;428091;797350
87;26837731244;428091;797350
88;27106376387;428091;797350
89;27389761411;428091;797350
90;27687940168;428091;797350
91;27983856729;428091;797350
92;28260454733;428091;797350
93;28533473569;428091;797350
94;28825443558;428091;797350
95;29103190031;428091;797350
96;29364074484;428091;797350
97;29628587180;428091;797350
98;29899977879;428091;797350
99;30181429680;428091;797350
100;30501564847;428091;797350
