Java Sort
Count;Sorted;Reverse;Random;Same
0;1185.0;790.0;5136.0;358716.0
10;3555.0;3555.0;25284.0;21333.0
20;4345.0;5135.0;19753.0;7901.0
30;5136.0;7506.0;28839.0;15408.0
40;13432.0;11456.0;67950.0;60444.0
50;6716.0;7111.0;43852.0;13827.0
60;8296.0;9087.0;41481.0;11852.0
70;10272.0;11852.0;65580.0;15013.0
80;9482.0;15803.0;64790.0;14617.0
90;6716.0;7902.0;47408.0;11062.0
100;6716.0;12247.0;54123.0;8691.0
110;11852.0;15802.0;60839.0;11852.0
120;19753.0;18568.0;480790.0;16197.0
130;50173.0;18963.0;520691.0;40296.0
140;11851.0;16198.0;129580.0;18568.0
150;12642.0;19753.0;146963.0;19358.0
160;14222.0;16197.0;152889.0;16987.0
170;14223.0;18568.0;129186.0;46223.0
180;9086.0;10666.0;175013.0;30815.0
190;9876.0;10667.0;175407.0;12642.0
200;11851.0;17778.0;283260.0;143803.0
210;13037.0;11062.0;193975.0;16198.0
220;5531.0;5135.0;133530.0;8692.0
230;5530.0;5531.0;146172.0;12642.0
240;16593.0;10271.0;355160.0;39901.0
250;8692.0;9876.0;133531.0;19753.0
260;49778.0;41086.0;188444.0;15012.0
270;9877.0;9481.0;280888.0;16593.0
280;849383.0;16592.0;197135.0;16592.0
290;14222.0;11852.0;216099.0;14617.0
300;12247.0;13432.0;265481.0;18963.0
310;9877.0;13827.0;222815.0;13037.0
320;37136.0;24099.0;217679.0;15013.0
330;15012.0;17777.0;1872986.0;19753.0
340;17778.0;15407.0;345284.0;16197.0
350;15408.0;18963.0;158420.0;16593.0
360;13037.0;15407.0;308938.0;18173.0
370;35161.0;16593.0;331457.0;15408.0
380;15802.0;15407.0;801975.0;18568.0
390;13037.0;18963.0;129975.0;16593.0
400;18173.0;32790.0;183704.0;15802.0
410;17777.0;15012.0;172642.0;17383.0
420;14618.0;16988.0;218074.0;16593.0
430;29630.0;27259.0;191999.0;48592.0
440;15408.0;16198.0;147357.0;18963.0
450;12247.0;15012.0;128790.0;16593.0
460;26469.0;18963.0;133926.0;16592.0
470;16988.0;19753.0;502914.0;178173.0
480;20543.0;26864.0;2775703.0;26469.0
490;15802.0;22914.0;293531.0;19753.0
500;16198.0;16592.0;180148.0;23704.0
510;16592.0;27654.0;207408.0;22124.0
520;12642.0;15012.0;149729.0;18963.0
530;27259.0;20543.0;162765.0;30815.0
540;20148.0;26469.0;198716.0;19753.0
550;49778.0;20939.0;268642.0;18963.0
560;22123.0;18568.0;168296.0;18963.0
570;61630.0;36740.0;614321.0;49383.0
580;32000.0;124444.0;400197.0;22519.0
590;22124.0;24099.0;167111.0;20938.0
600;18173.0;22914.0;182123.0;86123.0
610;24099.0;30024.0;222420.0;57679.0
620;12247.0;16593.0;141828.0;21334.0
630;17777.0;14223.0;107457.0;17778.0
640;55703.0;19753.0;162765.0;33185.0
650;13432.0;9481.0;167111.0;20543.0
660;14617.0;13828.0;188049.0;20148.0
670;15012.0;5103011.0;208197.0;17777.0
680;11457.0;9877.0;245729.0;11457.0
690;7506.0;7111.0;214913.0;11061.0
700;6716.0;4345.0;180938.0;31605.0
710;4346.0;46222.0;193185.0;8297.0
720;14617.0;6716.0;208988.0;23309.0
730;8296.0;7111.0;161975.0;10271.0
740;13432.0;5531.0;203456.0;8692.0
750;9086.0;7506.0;626172.0;8691.0
760;5136.0;11456.0;175012.0;8691.0
770;5926.0;5531.0;172642.0;8691.0
780;5926.0;5136.0;167901.0;7506.0
790;6716.0;9087.0;288000.0;7111.0
800;7901.0;14617.0;355161.0;25284.0
810;7901.0;10667.0;193185.0;12247.0
820;16198.0;7111.0;203457.0;10271.0
830;14617.0;13827.0;353185.0;46222.0
840;6321.0;7111.0;174617.0;9087.0
850;6321.0;5926.0;213333.0;11852.0
860;6717.0;8296.0;312889.0;8691.0
870;5925.0;7506.0;207407.0;9087.0
880;9086.0;9877.0;227555.0;15802.0
890;62025.0;87703.0;218865.0;9877.0
900;840691.0;47802.0;1457382.0;11457.0
910;18568.0;23703.0;245728.0;32395.0
920;19358.0;27259.0;168691.0;57284.0
930;18963.0;21728.0;1053234.0;56494.0
940;22124.0;21334.0;570074.0;22123.0
950;19753.0;345284.0;352395.0;22123.0
960;22123.0;78618.0;384395.0;30025.0
970;17383.0;21728.0;307357.0;113382.0
980;122864.0;22124.0;250469.0;35950.0
990;18173.0;24099.0;263506.0;16988.0
1000;16198.0;26469.0;265876.0;17778.0
1010;92444.0;24098.0;494617.0;18568.0
1020;69531.0;50173.0;1068247.0;18173.0
1030;17383.0;2205629.0;237037.0;18963.0
1040;17383.0;24099.0;345284.0;318025.0
1050;19753.0;24099.0;274568.0;16197.0
1060;1.7679005E7;25284.0;736790.0;19358.0
1070;6716.0;9482.0;530568.0;20543.0
1080;5531.0;8297.0;751012.0;7901.0
1090;5136.0;7111.0;288790.0;51358.0
1100;6716.0;7507.0;404148.0;7506.0
1110;6716.0;5531.0;312889.0;5531.0
1120;5925.0;5531.0;378469.0;6321.0
1130;4741.0;6716.0;335802.0;5531.0
1140;12642.0;7901.0;395852.0;7111.0
1150;7506.0;6321.0;603259.0;9877.0
1160;5136.0;8691.0;313679.0;6716.0
1170;7111.0;6321.0;365432.0;9481.0
1180;6716.0;6716.0;367803.0;10272.0
1190;5926.0;8691.0;419161.0;6321.0
1200;6321.0;6321.0;327111.0;7507.0
1210;6716.0;7506.0;592197.0;17383.0
1220;6716.0;11852.0;3507751.0;8692.0
1230;10272.0;7901.0;441283.0;6716.0
