Merge Sort(Cutoff: 5.0)
Count;Sorted;Reverse;Random;Same
0;0.0;0.0;395.0;8691.0
10;4346.0;30024.0;9877.0;56494.0
20;9876.0;37926.0;19358.0;23308.0
30;21728.0;77828.0;57679.0;24099.0
40;26469.0;106666.0;67951.0;26864.0
50;37531.0;186864.0;122470.0;39901.0
60;49382.0;238222.0;144197.0;52148.0
70;56888.0;388345.0;178173.0;58865.0
80;35951.0;253630.0;184889.0;40296.0
90;42271.0;145382.0;229926.0;43457.0
100;43852.0;183704.0;109037.0;48987.0
110;85334.0;207013.0;135506.0;67161.0
120;67555.0;249679.0;145778.0;71506.0
130;43456.0;225975.0;172247.0;75456.0
140;35161.0;267851.0;148148.0;38716.0
150;56889.0;446420.0;309333.0;41482.0
160;82173.0;521877.0;301037.0;64000.0
170;71506.0;412839.0;333037.0;85334.0
180;55703.0;464592.0;412444.0;50963.0
190;43852.0;551111.0;302222.0;43457.0
200;84938.0;883752.0;405728.0;52543.0
210;106271.0;1304888.0;482370.0;60840.0
220;122074.0;1327802.0;674765.0;131555.0
230;124049.0;195160.0;753383.0;126420.0
240;115358.0;190814.0;155654.0;118914.0
250;219259.0;332246.0;186469.0;114963.0
260;103901.0;220049.0;164740.0;175407.0
270;135901.0;242173.0;171852.0;119309.0
280;134716.0;240988.0;198716.0;118518.0
290;128790.0;238222.0;177778.0;130371.0
300;129185.0;248889.0;269827.0;129975.0
310;129185.0;265087.0;203062.0;135111.0
320;143407.0;269827.0;210173.0;137876.0
330;142222.0;286025.0;213334.0;144988.0
340;149333.0;299062.0;228346.0;147753.0
350;151703.0;312099.0;224790.0;149729.0
360;156444.0;325531.0;255210.0;184494.0
370;145778.0;274567.0;178172.0;180543.0
380;80593.0;267457.0;223605.0;95605.0
390;92444.0;322765.0;216098.0;97580.0
400;99950.0;202667.0;199506.0;99951.0
410;105877.0;490667.0;195555.0;99951.0
420;221630.0;289185.0;210568.0;167111.0
430;112197.0;276938.0;184494.0;111013.0
440;153284.0;259951.0;186074.0;112593.0
450;143013.0;250074.0;216099.0;119308.0
460;112988.0;293136.0;230321.0;117729.0
470;129580.0;285629.0;203852.0;143012.0
480;119309.0;369383.0;205827.0;120889.0
490;294715.0;526617.0;317234.0;131160.0
500;227555.0;605235.0;495012.0;301432.0
510;261925.0;547556.0;515950.0;263506.0
520;41087.0;386370.0;234666.0;289976.0
530;37926.0;390320.0;226370.0;38716.0
540;39506.0;378074.0;242963.0;34370.0
550;20938.0;230716.0;140642.0;22124.0
560;21728.0;277333.0;129975.0;24099.0
570;21333.0;304197.0;136296.0;21729.0
580;26469.0;335013.0;218074.0;22518.0
590;32000.0;340148.0;183703.0;41481.0
600;29234.0;294716.0;165530.0;24889.0
610;28839.0;327901.0;169481.0;28049.0
620;39506.0;342913.0;166716.0;33185.0
630;22914.0;288000.0;167901.0;26074.0
640;27654.0;311704.0;259556.0;23704.0
650;23703.0;316049.0;178963.0;30815.0
660;24889.0;327901.0;179753.0;28445.0
670;24099.0;326321.0;185284.0;25284.0
680;26864.0;335407.0;192790.0;24889.0
690;24889.0;357136.0;197926.0;27259.0
700;27259.0;353185.0;197531.0;26074.0
710;33186.0;359111.0;206617.0;25679.0
720;27655.0;420346.0;211753.0;45432.0
730;36741.0;458667.0;280889.0;29630.0
740;44247.0;438913.0;220444.0;28444.0
750;50963.0;417580.0;256395.0;31210.0
760;26469.0;422321.0;226765.0;27654.0
770;44642.0;430222.0;237037.0;28049.0
780;30815.0;465382.0;247308.0;34765.0
790;31210.0;456297.0;267062.0;36740.0
800;32000.0;457482.0;268247.0;36345.0
810;35160.0;481580.0;283654.0;34766.0
820;37531.0;557037.0;292740.0;36345.0
830;65185.0;1044938.0;523062.0;41086.0
840;44642.0;585876.0;331457.0;54518.0
850;41482.0;652641.0;348444.0;79012.0
860;41481.0;613135.0;303012.0;38716.0
870;39506.0;538469.0;299852.0;37136.0
880;77827.0;952888.0;391901.0;41086.0
890;71901.0;1004641.0;551901.0;65185.0
900;72297.0;1071407.0;581925.0;71506.0
910;67556.0;1031506.0;589037.0;77827.0
920;72692.0;1226666.0;673184.0;82963.0
930;68741.0;1114864.0;600494.0;71111.0
940;69135.0;1134617.0;628148.0;67161.0
950;40692.0;645135.0;355950.0;39506.0
960;52938.0;664494.0;365037.0;38321.0
970;58469.0;762864.0;600494.0;75456.0
980;70321.0;794074.0;409679.0;49777.0
990;44642.0;2109233.0;407703.0;41481.0
1000;139851.0;1206123.0;400593.0;40691.0
1010;82963.0;1238123.0;674765.0;77432.0
1020;86124.0;1368098.0;707555.0;77827.0
1030;112592.0;974617.0;476049.0;50173.0
1040;110617.0;925629.0;439308.0;80987.0
1050;55309.0;1264197.0;491456.0;43852.0
1060;125234.0;1136987.0;585086.0;48592.0
1070;56889.0;2122666.0;764049.0;87704.0
1080;207802.0;1388642.0;530172.0;93630.0
1090;88099.0;1357432.0;909037.0;80593.0
1100;83753.0;1938567.0;909827.0;81383.0
1110;77827.0;1640296.0;783012.0;84543.0
1120;69926.0;1955159.0;821728.0;71901.0
1130;83753.0;1394172.0;995951.0;79407.0
1140;45827.0;947358.0;502913.0;101136.0
1150;46618.0;1390222.0;517530.0;46222.0
1160;48198.0;956049.0;592987.0;56888.0
1170;87704.0;954074.0;505679.0;45432.0
1180;45037.0;971456.0;512790.0;45432.0
1190;45432.0;995160.0;601679.0;45432.0
1200;49778.0;1069432.0;545581.0;48988.0
1210;48988.0;1915654.0;582321.0;108247.0
1220;87703.0;2151900.0;1045728.0;87704.0
1230;84938.0;1756049.0;1039012.0;79407.0
1240;48198.0;1101432.0;628148.0;49777.0
1250;39506.0;1537185.0;591408.0;65975.0
1260;37926.0;1115654.0;585482.0;49383.0
1270;48198.0;1409184.0;740740.0;39111.0
1280;35555.0;1327802.0;722963.0;37136.0
1290;37926.0;1389826.0;711901.0;52544.0
