Shell Sort using a gap of 2.0
Count;Sorted;Reverse;Random;Same
0;0.0;0.0;395.0;7902.0
10;2766.0;4346.0;15012.0;16198.0
20;5531.0;12642.0;12247.0;5926.0
30;9482.0;18568.0;22913.0;9877.0
40;16593.0;28839.0;25679.0;18963.0
50;18567.0;43852.0;60049.0;21728.0
60;24494.0;60839.0;52543.0;25284.0
70;36740.0;73482.0;90864.0;116939.0
80;41482.0;64395.0;96000.0;44247.0
90;49777.0;73086.0;89679.0;43852.0
100;52544.0;90865.0;111012.0;50568.0
110;64000.0;103902.0;123654.0;62815.0
120;75457.0;113382.0;144987.0;71901.0
130;85334.0;171062.0;197136.0;90074.0
140;50173.0;101926.0;95210.0;51358.0
150;59654.0;122864.0;131556.0;77037.0
160;103506.0;176988.0;211753.0;101531.0
170;122074.0;163556.0;176593.0;150518.0
180;116148.0;154469.0;185284.0;119308.0
190;118519.0;122470.0;190419.0;123259.0
200;69926.0;160790.0;132346.0;70716.0
210;193185.0;256395.0;305383.0;157235.0
220;34765.0;135901.0;133135.0;127210.0
230;33185.0;82568.0;90469.0;67556.0
240;35556.0;57284.0;190814.0;59259.0
250;26865.0;54519.0;78223.0;27260.0
260;33581.0;55308.0;91259.0;32395.0
270;33580.0;58864.0;95210.0;53334.0
280;34765.0;69136.0;95605.0;34765.0
290;39902.0;68346.0;103111.0;36345.0
300;37135.0;66766.0;112593.0;38716.0
310;39901.0;78222.0;97185.0;39901.0
320;39506.0;75061.0;132346.0;39506.0
330;42271.0;77432.0;113383.0;42271.0
340;41876.0;161186.0;116148.0;41876.0
350;45037.0;81778.0;119308.0;45037.0
360;44246.0;84148.0;129975.0;44246.0
370;46223.0;107457.0;128000.0;45827.0
380;47012.0;88494.0;127210.0;49778.0
390;48198.0;143407.0;173827.0;48592.0
400;50567.0;96395.0;173037.0;50568.0
410;171456.0;101531.0;154864.0;137482.0
420;88494.0;105877.0;152493.0;81383.0
430;60049.0;176987.0;157235.0;54518.0
440;58469.0;153284.0;226766.0;55308.0
450;54914.0;186864.0;182519.0;63605.0
460;57679.0;181728.0;224000.0;56889.0
470;57679.0;175803.0;188839.0;58074.0
480;59654.0;186470.0;195160.0;59259.0
