Insertion Sort
Count;Sorted;Reverse;Random;Same
0;395.0;0.0;395.0;8692.0
10;395.0;395.0;395.0;4345.0
20;395.0;395.0;790.0;395.0
30;395.0;1185.0;1185.0;395.0
40;395.0;1580.0;1185.0;395.0
50;395.0;3160.0;1975.0;395.0
60;791.0;5136.0;3951.0;790.0
70;790.0;5926.0;4741.0;1186.0
80;395.0;5530.0;3951.0;790.0
90;790.0;6321.0;4345.0;790.0
100;790.0;7901.0;4741.0;790.0
110;790.0;9482.0;6321.0;790.0
120;790.0;13432.0;7506.0;790.0
130;790.0;12642.0;8297.0;1975.0
140;790.0;14618.0;9087.0;790.0
150;1185.0;16592.0;10667.0;790.0
160;1185.0;18963.0;18172.0;1185.0
170;1186.0;20938.0;12247.0;790.0
180;790.0;23309.0;13037.0;790.0
190;790.0;26074.0;14617.0;1185.0
200;1185.0;28445.0;16593.0;1185.0
210;1185.0;31210.0;18173.0;1580.0
220;1185.0;34370.0;19753.0;1185.0
230;1186.0;42667.0;21728.0;1581.0
240;1581.0;40692.0;23704.0;1581.0
250;1581.0;43851.0;24889.0;1580.0
260;1185.0;47408.0;26074.0;1581.0
270;1580.0;52148.0;30024.0;1581.0
280;1581.0;54519.0;33580.0;1581.0
290;1580.0;58074.0;30815.0;1581.0
300;1581.0;66766.0;32790.0;1580.0
310;1580.0;70321.0;37926.0;1580.0
320;1976.0;70321.0;37926.0;1581.0
330;1581.0;79012.0;39901.0;1975.0
340;1975.0;79407.0;41087.0;1975.0
350;1975.0;84938.0;45827.0;1975.0
360;1976.0;88889.0;48198.0;1975.0
370;1975.0;94025.0;51753.0;1975.0
380;1976.0;99950.0;53334.0;1975.0
390;1975.0;103902.0;58074.0;2370.0
400;2370.0;113383.0;60839.0;2370.0
410;1975.0;114568.0;61630.0;1975.0
420;1975.0;124049.0;65580.0;1975.0
430;2370.0;124840.0;65185.0;2370.0
440;1975.0;135506.0;71901.0;2370.0
450;2371.0;139061.0;72692.0;2370.0
460;2370.0;144593.0;77037.0;2370.0
470;2371.0;149728.0;167506.0;2371.0
480;2765.0;178963.0;79407.0;2765.0
490;2765.0;188049.0;88099.0;3555.0
500;2371.0;169086.0;92445.0;2765.0
510;4346.0;203061.0;107062.0;3161.0
520;2765.0;182518.0;95605.0;2765.0
530;3160.0;199506.0;99160.0;3160.0
540;2766.0;195556.0;103111.0;2766.0
550;2766.0;203061.0;111012.0;3161.0
560;2765.0;212938.0;108642.0;2766.0
570;2766.0;222024.0;109828.0;2765.0
580;3161.0;227951.0;115753.0;3161.0
590;3160.0;235061.0;124050.0;3161.0
600;2765.0;240197.0;128395.0;3160.0
610;3161.0;250864.0;129185.0;3160.0
620;3161.0;262321.0;141037.0;3160.0
630;3161.0;296296.0;141827.0;3160.0
640;3160.0;276543.0;136296.0;9481.0
650;3161.0;283654.0;147358.0;3160.0
660;3161.0;291555.0;152099.0;3160.0
670;3556.0;300247.0;154864.0;3160.0
680;3556.0;312494.0;169482.0;3555.0
690;4345.0;329876.0;176198.0;4346.0
700;4345.0;335802.0;201482.0;3951.0
710;3161.0;342123.0;171061.0;3556.0
720;3161.0;349629.0;177382.0;3555.0
730;3556.0;355555.0;182123.0;3555.0
740;3951.0;365037.0;189234.0;3555.0
750;3556.0;372938.0;201876.0;3556.0
760;3556.0;385185.0;214913.0;3556.0
770;3950.0;394667.0;204642.0;3555.0
780;3556.0;406519.0;210567.0;3951.0
790;3556.0;419556.0;222814.0;3951.0
800;3556.0;425481.0;221234.0;3555.0
810;3951.0;439309.0;233086.0;3950.0
820;3556.0;538864.0;227160.0;3951.0
830;7506.0;466568.0;284839.0;4741.0
840;5136.0;483161.0;274963.0;4741.0
850;3951.0;480790.0;251260.0;4346.0
860;4345.0;491456.0;253235.0;3950.0
870;3950.0;502914.0;264297.0;4346.0
880;4345.0;519506.0;268642.0;4346.0
890;5926.0;544790.0;270222.0;4346.0
900;4741.0;542024.0;288000.0;4346.0
910;4345.0;549925.0;291160.0;4741.0
920;4345.0;568099.0;308148.0;4345.0
930;4346.0;721383.0;328297.0;5136.0
940;7111.0;637234.0;325926.0;5136.0
950;4346.0;599309.0;324741.0;5136.0
960;4345.0;614715.0;314074.0;4346.0
970;4740.0;626567.0;304987.0;4741.0
980;4740.0;640789.0;325926.0;4740.0
990;4741.0;651852.0;340148.0;5136.0
1000;4741.0;666864.0;341728.0;4740.0
