Quick Sort Naive (Cutoff: 5.0)
Count;Sorted;Reverse;Random;Same
0;395.0;395.0;1580.0;11457.0
10;8691.0;12642.0;19358.0;38716.0
20;26074.0;35951.0;41876.0;13827.0
30;67556.0;57679.0;81383.0;19753.0
40;52148.0;58074.0;145778.0;17778.0
50;53333.0;43457.0;45037.0;12247.0
60;99555.0;84148.0;56889.0;22519.0
70;49777.0;54518.0;64395.0;15407.0
80;34765.0;40296.0;73482.0;55308.0
90;43457.0;43852.0;85334.0;11852.0
100;44247.0;46618.0;64395.0;23308.0
110;43062.0;79407.0;88099.0;11062.0
120;98370.0;91259.0;115753.0;28840.0
130;85728.0;83358.0;142223.0;16988.0
140;49778.0;55309.0;66370.0;13432.0
150;56098.0;92049.0;68346.0;10272.0
160;99950.0;110617.0;172246.0;11852.0
170;95605.0;110617.0;151309.0;37531.0
180;101530.0;122074.0;158420.0;18963.0
190;107852.0;116543.0;152098.0;22123.0
200;112592.0;128790.0;145383.0;22914.0
210;111012.0;79407.0;166716.0;20938.0
220;89284.0;87309.0;108642.0;13432.0
230;185679.0;164346.0;243358.0;24494.0
240;159605.0;161185.0;180543.0;26864.0
250;159605.0;171456.0;218469.0;43456.0
260;174222.0;169086.0;263901.0;53729.0
270;170667.0;164345.0;239803.0;28050.0
280;239803.0;176988.0;502913.0;70716.0
290;173827.0;176197.0;263111.0;29630.0
300;236642.0;201086.0;302223.0;32000.0
310;102716.0;111407.0;258370.0;31605.0
320;113778.0;116148.0;173037.0;20149.0
330;111802.0;184888.0;185679.0;18568.0
340;205037.0;187654.0;193580.0;18568.0
350;217679.0;221235.0;307753.0;37135.0
360;203061.0;242568.0;372148.0;35950.0
370;212543.0;234666.0;330272.0;38321.0
380;222025.0;212938.0;300247.0;39506.0
390;228346.0;245333.0;331061.0;35161.0
400;249679.0;278519.0;363062.0;42666.0
410;283654.0;259951.0;362666.0;41877.0
420;160000.0;155259.0;215308.0;26074.0
430;167901.0;156445.0;241778.0;24494.0
440;181333.0;178568.0;207012.0;23704.0
450;171457.0;175013.0;233481.0;27259.0
460;170667.0;182518.0;224000.0;24889.0
470;197926.0;200296.0;242568.0;34371.0
480;329086.0;302223.0;411259.0;41877.0
490;354765.0;348840.0;546765.0;47408.0
500;416395.0;396642.0;446419.0;44642.0
510;378864.0;378469.0;481580.0;55704.0
520;479210.0;389135.0;580740.0;47407.0
530;508839.0;333432.0;873876.0;56099.0
540;1207703.0;389926.0;406913.0;50568.0
550;533728.0;377284.0;873876.0;54518.0
560;374123.0;376493.0;626173.0;59655.0
570;338567.0;485926.0;653827.0;172246.0
580;403358.0;389926.0;1451062.0;57679.0
590;836345.0;370172.0;1213629.0;142617.0
600;383605.0;487901.0;1017679.0;69926.0
610;354765.0;376889.0;540839.0;68740.0
620;413629.0;392296.0;531358.0;47803.0
630;372938.0;315259.0;545185.0;58074.0
640;393086.0;403753.0;585481.0;60444.0
650;412050.0;433777.0;613531.0;64000.0
660;411259.0;410074.0;557037.0;58469.0
670;437729.0;420345.0;632889.0;82173.0
680;417185.0;427456.0;762074.0;61630.0
690;425086.0;400197.0;668839.0;63210.0
700;344494.0;438519.0;589827.0;55703.0
710;367012.0;375703.0;590617.0;52148.0
720;380049.0;387950.0;562173.0;53728.0
730;322765.0;227950.0;606025.0;61234.0
740;227951.0;236642.0;355556.0;32000.0
750;230716.0;413234.0;420346.0;32395.0
760;516345.0;477234.0;734025.0;160000.0
770;457087.0;478815.0;663308.0;65976.0
780;266666.0;259951.0;617877.0;64395.0
790;502518.0;487111.0;611950.0;34371.0
800;598518.0;602469.0;791703.0;59259.0
810;502914.0;487506.0;716642.0;66766.0
820;535704.0;522666.0;687802.0;67951.0
830;446025.0;459852.0;660938.0;61235.0
840;442469.0;469728.0;641975.0;69136.0
850;297877.0;312888.0;544000.0;36741.0
860;540839.0;528198.0;812247.0;67556.0
870;610766.0;581530.0;788148.0;69531.0
880;606814.0;578766.0;788543.0;71112.0
890;592592.0;613136.0;869926.0;73482.0
900;623802.0;539654.0;948148.0;76247.0
910;326321.0;328691.0;442074.0;38716.0
