Quick Sort Inplace M3(Cutoff: 5.0)
Count;Sorted;Reverse;Random;Same
0;395.0;0.0;1185.0;10667.0
10;2370.0;3161.0;4346.0;41087.0
20;4346.0;7901.0;10272.0;9482.0
30;7901.0;20938.0;11061.0;13827.0
40;13827.0;58864.0;30025.0;31605.0
50;17382.0;47012.0;38716.0;39111.0
60;26864.0;56099.0;42272.0;54124.0
70;28840.0;79012.0;45432.0;62815.0
80;52148.0;112988.0;51358.0;59655.0
90;37135.0;102716.0;53728.0;137087.0
100;38716.0;113778.0;76247.0;61630.0
110;25284.0;79013.0;85333.0;71506.0
120;33580.0;152099.0;51753.0;47802.0
130;133926.0;220839.0;124049.0;98765.0
140;45828.0;114173.0;68346.0;65580.0
150;83754.0;246519.0;179753.0;67555.0
160;20148.0;89679.0;49383.0;35160.0
170;20543.0;62025.0;45432.0;31605.0
180;23309.0;69531.0;39506.0;58864.0
190;37530.0;128790.0;52148.0;33581.0
200;42271.0;176988.0;81383.0;47407.0
210;45037.0;299457.0;87703.0;71111.0
220;47407.0;121679.0;141827.0;75061.0
230;32000.0;102321.0;90864.0;73482.0
240;33975.0;365036.0;57284.0;48988.0
250;68346.0;219259.0;82963.0;115358.0
260;75457.0;577185.0;107062.0;116148.0
270;62024.0;419951.0;95605.0;99160.0
280;69530.0;527802.0;103111.0;178963.0
290;76642.0;255605.0;110222.0;94420.0
300;70321.0;275358.0;178963.0;115753.0
310;69136.0;318815.0;126025.0;116939.0
320;64790.0;303407.0;125235.0;107457.0
330;78223.0;353185.0;128000.0;120494.0
340;73086.0;193185.0;92839.0;62420.0
350;64790.0;410469.0;78222.0;64791.0
360;82173.0;507259.0;135901.0;121679.0
370;44247.0;230321.0;141432.0;124444.0
380;83753.0;460246.0;91259.0;68741.0
390;101926.0;469728.0;160395.0;149333.0
400;86123.0;567703.0;175407.0;145383.0
410;80592.0;494222.0;146172.0;124445.0
420;79407.0;530963.0;102716.0;111012.0
430;39111.0;406519.0;161185.0;156049.0
440;50173.0;268642.0;155654.0;133925.0
450;81383.0;512790.0;119308.0;70321.0
460;18568.0;65580.0;80987.0;71902.0
470;20939.0;72296.0;53728.0;24889.0
480;21334.0;58864.0;49778.0;26469.0
490;26864.0;69531.0;52543.0;24098.0
500;16198.0;45432.0;54123.0;25284.0
510;13037.0;39901.0;41087.0;20148.0
520;14617.0;39901.0;41877.0;29235.0
530;14222.0;40691.0;47802.0;25679.0
540;13827.0;45037.0;43457.0;19753.0
550;16593.0;47407.0;46617.0;37136.0
560;22913.0;69530.0;152099.0;30420.0
570;26864.0;48593.0;46617.0;20543.0
580;22519.0;78222.0;47407.0;18963.0
590;28444.0;94025.0;70716.0;39111.0
600;29234.0;93630.0;73876.0;37531.0
610;29235.0;104296.0;63210.0;32790.0
620;26470.0;83358.0;74666.0;39901.0
630;30024.0;133926.0;74667.0;36741.0
640;29629.0;92444.0;157235.0;49777.0
650;25679.0;97976.0;232691.0;34765.0
660;29630.0;351605.0;74666.0;37925.0
670;27654.0;69136.0;82963.0;38716.0
680;21333.0;78222.0;64395.0;31605.0
690;31210.0;88099.0;72691.0;40296.0
700;15802.0;64000.0;60049.0;22123.0
710;27259.0;103506.0;79802.0;39901.0
720;30025.0;108642.0;78222.0;37136.0
730;26865.0;116938.0;79802.0;36345.0
740;29235.0;125234.0;83358.0;43457.0
750;33185.0;126815.0;88099.0;37531.0
760;29235.0;129185.0;85333.0;37531.0
770;30815.0;135506.0;85728.0;43062.0
780;31210.0;126419.0;97976.0;40691.0
790;29235.0;143012.0;93630.0;45827.0
800;33580.0;150914.0;94419.0;40691.0
810;33580.0;143803.0;112987.0;43062.0
820;32395.0;147358.0;98370.0;45037.0
830;18173.0;90469.0;72692.0;28840.0
840;17778.0;86914.0;68345.0;24098.0
850;18568.0;85728.0;69136.0;24889.0
860;17778.0;88494.0;69136.0;25679.0
870;20148.0;90074.0;86519.0;24493.0
880;18963.0;93234.0;70716.0;27259.0
890;18568.0;93630.0;72296.0;25284.0
900;19358.0;96000.0;75456.0;25679.0
910;19753.0;103901.0;74667.0;26865.0
920;21729.0;105876.0;74271.0;27259.0
930;20938.0;99950.0;75852.0;28839.0
940;30815.0;105481.0;77827.0;29630.0
950;22519.0;106667.0;76247.0;29629.0
960;22519.0;110222.0;80198.0;32395.0
970;25284.0;129975.0;79012.0;32790.0
980;28839.0;118124.0;81383.0;33580.0
990;24099.0;112987.0;82173.0;32790.0
