Quick Sort Inplace Random Pivot (Cutoff: 5.0)
Count;Sorted;Reverse;Random;Same
0;0.0;395.0;396.0;6716.0
10;65580.0;24888.0;37135.0;163556.0
20;35951.0;28839.0;4346.0;9482.0
30;36741.0;43457.0;8296.0;7506.0
40;72296.0;68346.0;20148.0;14617.0
50;107852.0;134716.0;30025.0;16988.0
60;90864.0;97580.0;34370.0;27259.0
70;113383.0;119703.0;22914.0;20543.0
80;150124.0;161580.0;34371.0;23704.0
90;301827.0;272592.0;56494.0;39902.0
100;233876.0;233086.0;36345.0;26864.0
110;407308.0;477234.0;48593.0;30024.0
120;330272.0;336987.0;67556.0;65185.0
130;355555.0;446814.0;154074.0;44642.0
140;416000.0;461432.0;56099.0;47407.0
150;927210.0;930765.0;63210.0;50568.0
160;868346.0;6969677.0;99950.0;75457.0
170;403357.0;77827.0;133531.0;163556.0
180;69135.0;143012.0;22914.0;14222.0
190;62420.0;99160.0;27654.0;15408.0
200;74272.0;139062.0;31605.0;29630.0
210;67555.0;173037.0;24889.0;13037.0
220;88099.0;130766.0;35555.0;19753.0
230;89679.0;125234.0;36346.0;20543.0
240;75061.0;85728.0;32790.0;20543.0
250;71506.0;93629.0;24494.0;19753.0
260;65580.0;100741.0;35555.0;14222.0
270;80593.0;100346.0;26074.0;14617.0
280;73876.0;105876.0;28049.0;14222.0
290;75457.0;115358.0;28445.0;15408.0
300;79407.0;120889.0;29235.0;15407.0
310;84148.0;143407.0;29235.0;22123.0
320;87704.0;152099.0;31604.0;16198.0
330;105877.0;159605.0;32790.0;16593.0
340;161975.0;188444.0;35161.0;19753.0
350;127604.0;203457.0;35951.0;24099.0
360;109433.0;173037.0;43852.0;21729.0
370;115753.0;172247.0;35951.0;17778.0
380;113382.0;176988.0;37531.0;18173.0
390;118124.0;189630.0;39111.0;17777.0
400;124049.0;194765.0;39111.0;17778.0
410;126815.0;201087.0;42271.0;21333.0
420;132346.0;230716.0;41482.0;18568.0
430;137481.0;218865.0;42667.0;18568.0
440;142617.0;246914.0;50568.0;18962.0
450;154469.0;239407.0;47803.0;20148.0
460;154864.0;256000.0;44642.0;20938.0
470;158024.0;258370.0;47012.0;23309.0
480;164740.0;271803.0;49777.0;25679.0
490;170271.0;277728.0;49383.0;27260.0
500;176592.0;289186.0;49778.0;28839.0
510;181333.0;295111.0;52543.0;30420.0
520;184099.0;304197.0;52938.0;30025.0
530;190815.0;345678.0;58469.0;29630.0
540;201481.0;376494.0;60444.0;33185.0
550;253629.0;629333.0;63605.0;37531.0
560;215308.0;350025.0;59260.0;33580.0
570;219654.0;357136.0;59654.0;31604.0
580;226765.0;370962.0;59654.0;31209.0
590;227555.0;380839.0;67556.0;31210.0
600;233481.0;393086.0;60445.0;31605.0
610;241383.0;410469.0;62814.0;32000.0
620;246914.0;421135.0;65976.0;32790.0
630;265876.0;428246.0;65975.0;33185.0
640;257580.0;440098.0;66765.0;33185.0
650;268247.0;458666.0;66370.0;32790.0
660;275753.0;464988.0;67951.0;32790.0
670;330271.0;602469.0;75852.0;45433.0
680;348839.0;648691.0;100346.0;52938.0
690;298667.0;504494.0;92839.0;35556.0
700;299851.0;521876.0;82568.0;33580.0
710;307358.0;532543.0;73876.0;34371.0
720;315259.0;548346.0;73876.0;34766.0
730;321185.0;557827.0;77827.0;35556.0
740;335802.0;580741.0;78617.0;35950.0
750;343308.0;587061.0;79802.0;35556.0
760;345679.0;603259.0;79408.0;36346.0
770;353186.0;656593.0;82173.0;37136.0
780;375704.0;640000.0;119309.0;42666.0
790;369383.0;649086.0;89679.0;37136.0
800;388346.0;663309.0;81383.0;37926.0
810;387951.0;675160.0;84938.0;36741.0
820;390716.0;695704.0;90074.0;38321.0
830;547160.0;802370.0;87309.0;42667.0
840;359111.0;804346.0;77037.0;25284.0
850;367012.0;886518.0;77827.0;25284.0
860;412049.0;1006222.0;90074.0;47012.0
870;389531.0;863210.0;81382.0;28444.0
880;396642.0;880593.0;80593.0;27654.0
890;404938.0;904691.0;79407.0;26864.0
900;414025.0;922864.0;82963.0;26864.0
910;421136.0;939851.0;80988.0;27654.0
920;426272.0;960395.0;86123.0;28839.0
930;434962.0;1071802.0;88889.0;31209.0
940;480000.0;1092740.0;107457.0;32395.0
950;452741.0;1022814.0;93629.0;31605.0
960;460247.0;1046123.0;90469.0;32000.0
970;476444.0;1063900.0;88889.0;32790.0
980;479605.0;1088394.0;96395.0;33185.0
990;495012.0;1126321.0;94814.0;34370.0
1000;509234.0;1231407.0;99555.0;35160.0
1010;628543.0;1157926.0;98370.0;37926.0
1020;522271.0;1172148.0;96396.0;37926.0
1030;527407.0;1209283.0;97976.0;37926.0
1040;541629.0;1216000.0;95605.0;37531.0
1050;550715.0;1240493.0;98765.0;37926.0
1060;558618.0;1594468.0;99556.0;43457.0
1070;652247.0;1297777.0;112198.0;44247.0
1080;576395.0;1317925.0;100346.0;38321.0
1090;591802.0;1337283.0;103111.0;39111.0
1100;602074.0;1363753.0;104692.0;38716.0
1110;613926.0;1383505.0;101926.0;39506.0
1120;716641.0;1420247.0;113777.0;47802.0
1130;633679.0;1433284.0;106667.0;40296.0
1140;645135.0;1461728.0;107062.0;40296.0
1150;655407.0;1487012.0;104691.0;40297.0
1160;664889.0;1668740.0;108642.0;42667.0
1170;769975.0;1540345.0;131950.0;58864.0
1180;683456.0;1651753.0;111802.0;41481.0
1190;700049.0;1588147.0;111803.0;43456.0
1200;705580.0;1615802.0;116938.0;42271.0
1210;727703.0;1983999.0;116543.0;42271.0
1220;738765.0;1705876.0;120494.0;45827.0
1230;748246.0;1742221.0;112988.0;43457.0
1240;769185.0;1782913.0;119703.0;45432.0
1250;772345.0;1790024.0;120099.0;44247.0
1260;903901.0;2026665.0;140642.0;75457.0
1270;1781333.0;3851455.0;174222.0;77827.0
1280;851357.0;2016394.0;169876.0;66765.0
1290;915753.0;1868246.0;141432.0;47803.0
1300;829234.0;1893135.0;119703.0;45432.0
1310;841086.0;1923555.0;125235.0;45037.0
1320;854914.0;2006518.0;128395.0;49383.0
1330;1059950.0;1977283.0;155654.0;54519.0
1340;876246.0;2018765.0;123259.0;46222.0
1350;892444.0;2045234.0;132741.0;47802.0
1360;908247.0;2257382.0;130370.0;46222.0
1370;920493.0;2097382.0;220444.0;47407.0
1380;928789.0;2130172.0;133531.0;47013.0
1390;958420.0;2205629.0;137481.0;63605.0
1400;1004247.0;2572246.0;136297.0;47803.0
1410;967901.0;2226171.0;135901.0;47802.0
1420;981333.0;2260543.0;133926.0;47803.0
1430;995555.0;2313481.0;139062.0;49778.0
1440;1162666.0;2322567.0;182124.0;63210.0
1450;1019258.0;2364444.0;141037.0;48988.0
1460;1036247.0;2376295.0;142223.0;48988.0
1470;1080889.0;2746863.0;143012.0;50173.0
1480;1061531.0;2443061.0;139852.0;50568.0
1490;1076148.0;2486122.0;143803.0;50173.0
1500;1088394.0;2691555.0;141827.0;52543.0
1510;1103012.0;2541431.0;228741.0;52148.0
1520;1119209.0;2573431.0;152889.0;50963.0
1530;1130666.0;2640592.0;160395.0;54124.0
1540;1266172.0;2639801.0;186864.0;55703.0
1550;1159901.0;2671406.0;150518.0;51358.0
1560;1172543.0;2718024.0;153679.0;52148.0
1570;1267357.0;2742123.0;178568.0;61234.0
1580;1207308.0;2786370.0;155259.0;52148.0
1590;1216789.0;3101233.0;150913.0;52938.0
1600;1233778.0;2856690.0;159605.0;53728.0
1610;1249580.0;2880394.0;165926.0;53333.0
1620;1263012.0;3312196.0;158815.0;53729.0
1630;1297383.0;2955061.0;159999.0;54914.0
1640;1293827.0;2991012.0;161580.0;58074.0
1650;1338863.0;3430715.0;162765.0;54519.0
1660;1327802.0;3062122.0;166716.0;54914.0
1670;1352296.0;7046318.0;173037.0;54913.0
1680;2149530.0;3152987.0;220049.0;95209.0
1690;1373629.0;3284937.0;169086.0;56099.0
1700;1481481.0;3220147.0;182124.0;64000.0
1710;1415506.0;3248591.0;167506.0;56889.0
1720;1431308.0;3728591.0;172642.0;56494.0
1730;1442370.0;3325628.0;167506.0;57679.0
1740;1461333.0;3448492.0;172247.0;56889.0
1750;1574321.0;3436245.0;180544.0;64000.0
1760;1490962.0;3451258.0;174222.0;57679.0
1770;1624888.0;3763751.0;174617.0;59260.0
1780;1519012.0;3523555.0;185679.0;59654.0
1790;1537580.0;3885036.0;179358.0;58074.0
1800;1553777.0;3597825.0;186074.0;60839.0
1810;1575505.0;3636542.0;186864.0;60049.0
1820;1854024.0;3685529.0;252444.0;64395.0
1830;1607506.0;3723455.0;187259.0;61629.0
1840;1668740.0;4088098.0;185679.0;65580.0
1850;1639110.0;3825381.0;187259.0;64395.0
1860;1656493.0;4266270.0;189630.0;63605.0
1870;1684542.0;3882270.0;192791.0;65580.0
1880;1698764.0;4092838.0;192790.0;68741.0
1890;1747357.0;3980640.0;197135.0;76642.0
1900;1752493.0;4617874.0;197531.0;66371.0
1910;1805431.0;4071110.0;218864.0;69135.0
1920;1861925.0;4507257.0;259950.0;69530.0
1930;1845333.0;5430121.0;209383.0;76642.0
1940;1855604.0;5199011.0;196346.0;70321.0
1950;3096887.0;5727603.0;259555.0;122864.0
1960;2212739.0;4381233.0;201087.0;71901.0
1970;1866666.0;4295505.0;209778.0;72296.0
1980;2257777.0;4453924.0;207012.0;72691.0
1990;1897086.0;4412047.0;204247.0;73482.0
2000;2263308.0;4438121.0;224790.0;79012.0
2010;1933036.0;4474862.0;202272.0;74667.0
2020;2252246.0;4606023.0;229926.0;128395.0
2030;1993085.0;4905085.0;207012.0;82962.0
2040;2076048.0;4789332.0;290766.0;86519.0
2050;2052740.0;5357035.0;203062.0;79012.0
2060;2033382.0;4763652.0;217679.0;79012.0
2070;2066172.0;5466467.0;219259.0;78617.0
2080;2077233.0;4839109.0;227161.0;79407.0
2090;2349036.0;5213232.0;224000.0;82568.0
2100;2126616.0;4938270.0;207802.0;80988.0
2110;2542221.0;5010961.0;264691.0;107852.0
2120;2211555.0;5505578.0;215703.0;87308.0
2130;2239999.0;5047702.0;216099.0;81778.0
2140;2264493.0;5749726.0;225975.0;81382.0
2150;2271999.0;5161875.0;218469.0;81778.0
2160;2643752.0;5196245.0;280888.0;92049.0
