Quick Sort Inplace First Pivot (Cutoff: 5.0)
Count;Sorted;Reverse;Random;Same
0;0.0;0.0;395.0;4741.0
10;72691.0;12247.0;42271.0;45827.0
20;11852.0;11062.0;22913.0;13037.0
30;22124.0;23309.0;8297.0;6716.0
40;65976.0;38321.0;13037.0;8297.0
50;67160.0;66765.0;13432.0;10667.0
60;77037.0;81383.0;16987.0;14222.0
70;110617.0;151704.0;20544.0;18173.0
80;135506.0;152889.0;33975.0;33185.0
90;180148.0;202667.0;32000.0;23704.0
100;208592.0;220049.0;31210.0;24889.0
110;274963.0;316445.0;37926.0;27654.0
120;394666.0;335802.0;43852.0;34370.0
130;422320.0;621037.0;52543.0;68345.0
140;474469.0;446814.0;60839.0;50173.0
150;448000.0;457876.0;53333.0;49383.0
160;540444.0;529382.0;59654.0;49778.0
170;546765.0;607605.0;64000.0;52938.0
180;643555.0;647111.0;88099.0;55309.0
190;536494.0;41482.0;70321.0;58470.0
200;30420.0;44642.0;15802.0;7111.0
210;31605.0;47802.0;16987.0;6321.0
220;34766.0;80593.0;17383.0;5926.0
230;36345.0;59259.0;18173.0;6716.0
240;45828.0;61629.0;18173.0;7901.0
250;41087.0;65975.0;19753.0;8297.0
260;43852.0;69926.0;21333.0;8691.0
270;72691.0;96790.0;20544.0;9086.0
280;42272.0;86914.0;20939.0;7506.0
290;45432.0;79013.0;20543.0;8296.0
300;47802.0;81383.0;21334.0;7901.0
310;50567.0;86124.0;22124.0;7902.0
320;54124.0;90864.0;22914.0;8296.0
330;58074.0;96790.0;24099.0;8691.0
340;60050.0;101531.0;23704.0;8691.0
350;62814.0;153679.0;24889.0;9877.0
360;201086.0;326321.0;26074.0;10667.0
370;73481.0;125234.0;36346.0;17382.0
380;86124.0;242172.0;28445.0;14617.0
390;141827.0;243358.0;47013.0;18963.0
400;154074.0;261926.0;44642.0;20148.0
410;150914.0;279704.0;44642.0;19358.0
420;165530.0;303408.0;48198.0;18963.0
430;173432.0;317234.0;46618.0;19753.0
440;182124.0;333432.0;47802.0;20938.0
450;193185.0;335012.0;48988.0;21729.0
460;195950.0;348444.0;52148.0;24098.0
470;193185.0;361086.0;51753.0;24889.0
480;198715.0;376494.0;54914.0;22518.0
490;216889.0;380444.0;53333.0;28840.0
500;230321.0;405333.0;63210.0;30025.0
510;220444.0;564148.0;57284.0;22914.0
520;220840.0;392296.0;78617.0;34370.0
530;136296.0;237432.0;42271.0;15802.0
540;138272.0;246914.0;40691.0;15803.0
550;148543.0;256790.0;43852.0;16197.0
560;150519.0;264691.0;43852.0;16197.0
570;154865.0;276938.0;43457.0;16198.0
580;158419.0;288000.0;44642.0;16593.0
