BST
Size;Add_Ordered;Add_Random;Remove_Ordered;Remove_Random;Contains_Ordered;Conrains_Random
0;41692;760;434;434;652;652
10;7383;7871;32788;4126;3475;2171
20;21714;17100;60366;5646;9120;3040
30;15200;9011;28880;1737;3257;1520
40;28011;16828;36480;2823;5646;2606
50;26274;15796;47337;3474;8686;2823
60;27360;17154;19977;3475;10206;3691
70;45166;21443;29314;6080;15634;3909
80;57978;24211;33875;5211;19325;7600
90;67315;27034;45600;5863;21497;4777
100;94022;32788;51028;6514;27360;5211
110;81428;22366;46468;1086;25189;1520
120;119646;31214;68183;1737;36697;2171
130;280766;29639;868354;48423;28229;2171
140;138103;31540;76868;3908;41257;2606
150;131589;28500;70788;2823;40606;3040
160;155257;31323;76434;3258;46686;1954
170;176754;37511;75565;1737;56457;4994
180;198903;35502;83817;1738;61017;2388
190;224960;39194;92286;1738;68183;2388
200;324629;51571;129851;4343;103360;4125
210;348949;54719;138320;3691;101622;6298
220;386297;56891;149395;4777;120514;4778
230;428206;59660;158731;3908;131806;6514
240;487269;60474;169372;3691;141577;3258
250;489440;54774;147006;3909;120732;5211
260;453394;59008;160469;2605;139406;5212
270;487920;59714;166983;3691;142446;4560
280;516149;63840;177406;6731;152000;3692
290;577817;80180;233646;5646;199337;9771
300;1595566;129851;588240;7165;452309;13463
310;735681;84686;243200;9120;231040;7600
320;796046;76380;299875;5428;235383;6297
330;732205;76597;238206;3475;223440;5862
340;804732;82677;268605;4994;244286;4560
350;862491;82080;280115;5428;256446;6080
360;908526;89517;290537;5428;267955;6297
370;995384;84848;321589;6080;280114;6731
380;1527600;104934;373268;6949;345257;9120
390;1117852;95977;365452;5646;341348;8685
400;1213177;140708;393463;9771;366320;10640
410;1247052;111991;405189;8034;384125;10206
420;1348241;104228;381086;7600;363063;12160
430;1419029;122468;395201;8685;382388;10206
440;1352149;108843;426252;7600;405623;7600
450;6610482;379185;638618;12595;814503;12594
460;1830949;128440;568914;11943;527006;12160
470;2830892;258183;1013406;6731;4108561;142663
480;2146458;209543;697463;11508;639052;8685
490;2067200;125400;505943;7600;487921;7383
500;2129520;134900;626675;8685;697463;5429
510;8469225;138808;672275;5211;643394;8469
520;2240480;150968;683349;5646;642309;4125
