Size	Height Random	Height LogN
100	12	6.64385619
200	15	7.64385619
300	18	8.22881869
400	20	8.64385619
500	18	8.965784285
600	21	9.22881869
700	19	9.451211112
800	20	9.64385619
900	21	9.813781191
1000	22	9.965784285
1100	26	10.10328781
1200	20	10.22881869
1300	23	10.34429591
1400	23	10.45121111
1500	25	10.55074679
1600	24	10.64385619
1700	22	10.73131903
1800	24	10.81378119
1900	24	10.8917837
2000	23	10.96578428
2100	23	11.03617361
2200	24	11.10328781
2300	26	11.16741815
2400	29	11.22881869
2500	25	11.28771238
2600	27	11.34429591
2700	24	11.39874369
2800	23	11.45121111
2900	24	11.50183718
3000	27	11.55074679
3100	27	11.5980525
3200	26	11.64385619
3300	27	11.68825031
3400	25	11.73131903
3500	25	11.77313921
3600	29	11.81378119
3700	25	11.85330956
3800	27	11.8917837
3900	29	11.92925841
4000	26	11.96578428
4100	29	12.00140819
4200	29	12.03617361
4300	28	12.07012094
4400	30	12.10328781
4500	29	12.13570929
4600	27	12.16741815
4700	27	12.19844504
4800	27	12.22881869
4900	27	12.25856603
5000	29	12.28771238
5100	27	12.31628153
5200	27	12.34429591
5300	27	12.37177664
5400	31	12.39874369
5500	27	12.4252159
5600	28	12.45121111
5700	27	12.4767462
5800	27	12.50183718
5900	27	12.52649924
6000	28	12.55074679
6100	33	12.57459353
6200	30	12.5980525
6300	28	12.62113611
6400	31	12.64385619
6500	28	12.666224
6600	29	12.68825031
6700	32	12.70994538
6800	28	12.73131903
6900	31	12.75238065
7000	31	12.77313921
7100	28	12.79360331
7200	32	12.81378119
7300	31	12.83368075
7400	28	12.85330956
7500	28	12.87267488
7600	28	12.8917837
7700	34	12.91064273
7800	31	12.92925841
7900	31	12.94763694
8000	29	12.96578428
8100	34	12.98370619
8200	31	13.00140819
8300	32	13.01889562
8400	29	13.03617361
8500	30	13.05324713
8600	31	13.07012094
8700	29	13.08679969
8800	30	13.10328781
8900	30	13.11958962
9000	29	13.13570929
9100	33	13.15165083
9200	30	13.16741815
9300	30	13.183015
9400	32	13.19844504
9500	30	13.2137118
9600	34	13.22881869
9700	34	13.24376903
9800	30	13.25856603
9900	32	13.27321281
10000	32	13.28771238
10100	32	13.30206767
10200	30	13.31628153
10300	30	13.33035672
10400	31	13.34429591
10500	29	13.35810171
10600	29	13.37177664
10700	30	13.38532318
10800	29	13.39874369
10900	32	13.41204051
11000	30	13.4252159
11100	31	13.43827206
11200	30	13.45121111
11300	29	13.46403515
11400	33	13.4767462
11500	31	13.48934624
11600	30	13.50183718
11700	33	13.51422091
11800	33	13.52649924
11900	30	13.53867395
12000	32	13.55074679
12100	30	13.56271943
12200	34	13.57459353
12300	34	13.5863707
12400	30	13.5980525
12500	31	13.60964047
12600	34	13.62113611
12700	33	13.63254088
12800	29	13.64385619
12900	35	13.65508345
13000	31	13.666224
13100	33	13.67727919
13200	30	13.68825031
13300	32	13.69913863
13400	35	13.70994538
13500	39	13.72067179
13600	36	13.73131903
13700	34	13.74188827
13800	34	13.75238065
13900	33	13.76279726
14000	36	13.77313921
14100	31	13.78340754
14200	30	13.79360331
14300	33	13.80372753
14400	37	13.81378119
14500	32	13.82376528
14600	36	13.83368075
14700	33	13.84352853
14800	34	13.85330956
14900	33	13.86302471
15000	30	13.87267488
15100	32	13.88226093
15200	33	13.8917837
15300	34	13.90124403
15400	32	13.91064273
15500	34	13.9199806
15600	32	13.92925841
15700	32	13.93847694
15800	36	13.94763694
15900	35	13.95673915
16000	32	13.96578428
16100	33	13.97477307
16200	31	13.98370619
16300	36	13.99258434
16400	33	14.00140819
16500	31	14.0101784
16600	35	14.01889562
16700	36	14.02756048
16800	34	14.03617361
16900	35	14.04473563
17000	32	14.05324713
17100	32	14.0617087
17200	32	14.07012094
17300	30	14.07848442
17400	35	14.08679969
17500	33	14.0950673
17600	34	14.10328781
17700	36	14.11146174
17800	33	14.11958962
17900	33	14.12767197
18000	32	14.13570929
18100	39	14.14370208
18200	30	14.15165083
18300	37	14.15955603
18400	32	14.16741815
18500	32	14.17523765
18600	33	14.183015
18700	36	14.19075065
18800	34	14.19844504
18900	36	14.20609861
19000	30	14.2137118
19100	35	14.22128502
19200	33	14.22881869
19300	36	14.23631323
19400	33	14.24376903
19500	31	14.2511865
19600	35	14.25856603
19700	34	14.26590801
19800	34	14.27321281
19900	31	14.28048081
20000	33	14.28771238
20100	34	14.29490788
20200	36	14.30206767
20300	36	14.30919211
20400	33	14.31628153
20500	35	14.32333629
20600	34	14.33035672
20700	34	14.33734315
20800	35	14.34429591
20900	36	14.35121532
21000	37	14.35810171
21100	34	14.36495538
21200	34	14.37177664
21300	36	14.37856581
21400	36	14.38532318
21500	33	14.39204904
21600	32	14.39874369
21700	40	14.40540742
21800	33	14.41204051
21900	35	14.41864325
22000	36	14.4252159
22100	33	14.43175875
22200	34	14.43827206
22300	35	14.44475609
22400	32	14.45121111
22500	32	14.45763738
22600	35	14.46403515
22700	34	14.47040468
22800	44	14.4767462
22900	32	14.48305998
23000	32	14.48934624
23100	33	14.49560523
23200	37	14.50183718
23300	39	14.50804233
23400	34	14.51422091
23500	35	14.52037314
23600	34	14.52649924
23700	40	14.53259944
23800	36	14.53867395
23900	33	14.544723
24000	33	14.55074679
24100	37	14.55674553
24200	33	14.56271943
24300	34	14.56866869
24400	32	14.57459353
24500	34	14.58049413
24600	31	14.5863707
24700	40	14.59222342
24800	41	14.5980525
24900	36	14.60385812
25000	39	14.60964047
