Binary Search Tree				
Size	Ordered	Random	Ordered_Contains	Random_Contains
0	0.000041692	0.00000076	0.000000652	0.000000652
10	0.000007383	0.000007871	0.000003475	0.000002171
20	0.000021714	0.0000171	0.00000912	0.00000304
30	0.0000152	0.000009011	0.000003257	0.00000152
40	0.000028011	0.000016828	0.000005646	0.000002606
50	0.000026274	0.000015796	0.000008686	0.000002823
60	0.00002736	0.000017154	0.000010206	0.000003691
70	0.000045166	0.000021443	0.000015634	0.000003909
80	0.000057978	0.000024211	0.000019325	0.0000076
90	0.000067315	0.000027034	0.000021497	0.000004777
100	0.000094022	0.000032788	0.00002736	0.000005211
110	0.000081428	0.000022366	0.000025189	0.00000152
120	0.000119646	0.000031214	0.000036697	0.000002171
130	0.000280766	0.000029639	0.000028229	0.000002171
140	0.000138103	0.00003154	0.000041257	0.000002606
150	0.000131589	0.0000285	0.000040606	0.00000304
160	0.000155257	0.000031323	0.000046686	0.000001954
170	0.000176754	0.000037511	0.000056457	0.000004994
180	0.000198903	0.000035502	0.000061017	0.000002388
190	0.00022496	0.000039194	0.000068183	0.000002388
200	0.000324629	0.000051571	0.00010336	0.000004125
210	0.000348949	0.000054719	0.000101622	0.000006298
220	0.000386297	0.000056891	0.000120514	0.000004778
230	0.000428206	0.00005966	0.000131806	0.000006514
240	0.000487269	0.000060474	0.000141577	0.000003258
250	0.00048944	0.000054774	0.000120732	0.000005211
260	0.000453394	0.000059008	0.000139406	0.000005212
270	0.00048792	0.000059714	0.000142446	0.00000456
280	0.000516149	0.00006384	0.000152	0.000003692
290	0.000577817	0.00008018	0.000199337	0.000009771
300	0.001595566	0.000129851	0.000452309	0.000013463
310	0.000735681	0.000084686	0.00023104	0.0000076
320	0.000796046	0.00007638	0.000235383	0.000006297
330	0.000732205	0.000076597	0.00022344	0.000005862
340	0.000804732	0.000082677	0.000244286	0.00000456
350	0.000862491	0.00008208	0.000256446	0.00000608
360	0.000908526	0.000089517	0.000267955	0.000006297
370	0.000995384	0.000084848	0.000280114	0.000006731
380	0.0015276	0.000104934	0.000345257	0.00000912
390	0.001117852	0.000095977	0.000341348	0.000008685
400	0.001213177	0.000140708	0.00036632	0.00001064
410	0.001247052	0.000111991	0.000384125	0.000010206
420	0.001348241	0.000104228	0.000363063	0.00001216
430	0.001419029	0.000122468	0.000382388	0.000010206
440	0.001352149	0.000108843	0.000405623	0.0000076
450	0.006610482	0.000379185	0.000814503	0.000012594
460	0.001830949	0.00012844	0.000527006	0.00001216
470	0.002830892	0.000258183	0.004108561	0.000142663
480	0.002146458	0.000209543	0.000639052	0.000008685
490	0.0020672	0.0001254	0.000487921	0.000007383
500	0.00212952	0.0001349	0.000697463	0.000005429
510	0.008469225	0.000138808	0.000643394	0.000008469
520	0.00224048	0.000150968	0.000642309	0.000004125
530	0.002357086	0.000155365	0.000688995	0.000004995
540	0.003104275	0.0001501	0.000717223	0.000008686
550	0.002500184	0.000161066	0.000722434	0.00000456
560	0.002163395	0.000135117	0.000627109	0.00000304
570	0.002253292	0.00016074	0.000695292	0.000009989
580	0.002359909	0.00014326	0.000682697	0.000005429
590	0.002918618	0.000169262	0.000851417	0.000007166
600	0.002529932	0.000144996	0.000751532	0.000003692
610	0.00482687	0.000181911	0.000911783	0.000005646
620	0.003065406	0.00017556	0.001294389	0.000004995
630	0.002857166	0.000162043	0.000840777	0.000002171
640	0.003101235	0.000173714	0.000948697	0.000003257
650	0.003867098	0.000225937	0.000873566	0.000008686
660	0.003739853	0.000186091	0.001105691	0.000004777
670	0.003576561	0.000191031	0.001058355	0.000004777
680	0.00321936	0.000166168	0.000961075	0.000003691
690	0.003324024	0.000171379	0.000979531	0.000003909
700	0.006007476	0.000224091	0.002175772	0.00000608
710	0.003533132	0.000189402	0.000929806	0.000004343
720	0.003785235	0.000185222	0.00111568	0.000006948
730	0.003757006	0.000182454	0.001065955	0.000002823
740	0.004041681	0.000186254	0.001123715	0.000005863
750	0.00401519	0.000185385	0.001146731	0.0000076
760	0.003936801	0.000183214	0.001108514	0.000014114
770	0.004114641	0.000196405	0.001201668	0.000002823
780	0.004216481	0.000192877	0.001189075	0.000004343
790	0.004188903	0.000185765	0.001169098	0.000003257
800	0.004467063	0.000190705	0.001240755	0.000002823
810	0.00470831	0.000203571	0.001324572	0.000003474
820	0.004613201	0.000209977	0.001366046	0.000002823
830	0.004706356	0.000207914	0.001373429	0.00000304
840	0.004943259	0.000211388	0.001500892	0.000003474
850	0.00480863	0.000208294	0.001452469	0.000002823
860	0.007593705	0.000210085	0.001423806	0.000018675
870	0.007501636	0.000241191	0.001550184	0.000005428
880	0.00577535	0.000226099	0.001599475	0.00000304
890	0.005575796	0.00023028	0.001629657	0.000008035
900	0.008870288	0.0004959	0.001900869	0.000004343
910	0.006004001	0.000240594	0.001727806	0.000008686
920	0.005952321	0.00023598	0.001703921	0.00000304
930	0.006404847	0.000244286	0.001814012	0.00000304
