TreeSet						
Size	Add_Ordered	Add_Random	Remove_Ordered	Remove_Random	Contains_Ordered	Conrains_Random
0	0.000000435	0.000000651	0.000000434	0.000000434	0.000000434	0.000000435
10	0.000016937	0.000022691	0.000016503	0.000003691	0.000005646	0.000003692
20	0.000020846	0.000025623	0.000038651	0.000007383	0.000013246	0.000006732
30	0.00000608	0.00001178	0.000052115	0.000002388	0.000003257	0.000002389
40	0.000011075	0.000049237	0.002053086	0.00000456	0.000006514	0.000007383
50	0.000015635	0.000018294	0.000014983	0.000003691	0.000006948	0.000003692
60	0.000016068	0.000027414	0.000028011	0.000003474	0.000009555	0.000003257
70	0.000024103	0.000026925	0.000029532	0.00000456	0.00001216	0.00000456
80	0.000013897	0.000016719	0.000016937	0.000004994	0.000007817	0.000004126
90	0.000020846	0.000020411	0.000018023	0.000005429	0.000008035	0.00000456
100	0.000020195	0.000024211	0.000022148	0.000006297	0.000008686	0.000005212
110	0.000011074	0.000013245	0.000011291	0.00000152	0.000004995	0.00000152
120	0.000015635	0.000016665	0.000038	0.000002605	0.000006948	0.000002389
130	0.000017372	0.000020791	0.000008903	0.000002823	0.000006948	0.000002823
140	0.000014983	0.000018348	0.000008251	0.000002388	0.000006949	0.000002389
150	0.000011943	0.000016014	0.000006731	0.000001954	0.00000608	0.000001954
160	0.00001368	0.000017262	0.000007166	0.000002171	0.000006731	0.000001954
170	0.000014332	0.000018457	0.0000076	0.000002172	0.000008468	0.000002171
180	0.000016068	0.000019325	0.000008252	0.000002389	0.0000076	0.000002388
190	0.000016503	0.000020302	0.000009988	0.000003474	0.000008034	0.000002389
200	0.00002128	0.000027034	0.000013463	0.000006297	0.000011509	0.000004343
210	0.000022583	0.000027631	0.000014114	0.000006514	0.000013463	0.00000456
220	0.000022583	0.000028662	0.00001672	0.000004994	0.000012377	0.000005646
230	0.000024103	0.000032246	0.000014983	0.000005429	0.000014332	0.000004777
240	0.000025623	0.000027957	0.000012812	0.000004995	0.000012377	0.00000608
250	0.000022365	0.000029043	0.000013028	0.000003474	0.000012595	0.000004343
260	0.00002432	0.000030834	0.000016286	0.000003692	0.000011291	0.000004777
270	0.000023452	0.000030617	0.000012811	0.000005645	0.000013897	0.000004995
280	0.000027577	0.000033168	0.000014983	0.000005211	0.000012812	0.000003909
290	0.00003192	0.000042451	0.000020846	0.000005863	0.00001824	0.000006297
300	0.000067314	0.000072308	0.000037131	0.000012811	0.00002432	0.000010857
310	0.000034743	0.000043863	0.000019543	0.000008469	0.000019108	0.00000608
320	0.000034526	0.000042777	0.000017805	0.000004995	0.000017372	0.0000076
330	0.000036046	0.00004028	0.000017806	0.000007817	0.000015634	0.000005863
340	0.000034309	0.0000437	0.000018023	0.000006297	0.000015417	0.000005863
350	0.000035612	0.000044731	0.00001672	0.000007166	0.00001824	0.000005211
360	0.000036263	0.000045654	0.00001976	0.000007817	0.000018457	0.0000076
370	0.000038217	0.000046197	0.000021063	0.000008903	0.000018892	0.000006514
380	0.000049509	0.000051354	0.000025406	0.000009989	0.000022582	0.000008903
390	0.000038652	0.000052711	0.000020411	0.000008034	0.000019977	0.000007383
400	0.000076217	0.000084143	0.000047555	0.000009771	0.000028228	0.000010205
410	0.000051028	0.00006118	0.000026708	0.000009988	0.000024972	0.000009337
420	0.000048423	0.000060148	0.00003192	0.00000912	0.000024537	0.000008903
430	0.000056891	0.000083437	0.000039954	0.00001672	0.00003496	0.000013897
440	0.000043428	0.000055045	0.000023017	0.000007817	0.000022366	0.0000076
450	0.000110309	0.000440529	0.000032137	0.000011725	0.000026709	0.000012377
460	0.000060366	0.000064545	0.000031702	0.000018892	0.000029748	0.000009337
470	0.000646	0.000059171	0.000046468	0.00000608	0.000025189	0.000005428
480	0.000050377	0.000069214	0.000029097	0.000009338	0.000023017	0.000009337
490	0.000062102	0.00007068	0.00003192	0.000008034	0.000026057	0.000006732
500	0.00044536	0.000069974	0.00003192	0.000004343	0.000023235	0.00000608
510	0.00004864	0.000068346	0.00003192	0.000005428	0.000023886	0.000007383
520	0.000054069	0.000066229	0.000032571	0.000005212	0.000027577	0.000004342
530	0.000058411	0.000079962	0.000036914	0.000007382	0.000028446	0.000004995
540	0.000058411	0.000071168	0.000038651	0.000006297	0.000026709	0.000008035
550	0.000055372	0.000069051	0.000033657	0.000006514	0.000028663	0.000005212
560	0.000048206	0.000061777	0.000031703	0.00000304	0.000024971	0.000004126
570	0.0000684	0.000069486	0.000034309	0.000004343	0.000032788	0.000005863
580	0.000054068	0.000065522	0.000031703	0.000005212	0.000025406	0.000005211
590	0.000068834	0.00008056	0.000034091	0.000011508	0.000029097	0.000008903
600	0.00004712	0.000060474	0.000030617	0.000003257	0.000024972	0.000002823
610	0.000099451	0.000077845	0.000043428	0.000006731	0.000042994	0.000006949
620	0.000052983	0.000073068	0.000035177	0.000005646	0.000026926	0.000004125
630	0.000060365	0.000059822	0.000032137	0.000002389	0.000026275	0.000002606
640	0.000057109	0.000070625	0.000036697	0.000004343	0.000028229	0.000004777
650	0.000067966	0.00009766	0.000041257	0.000007817	0.000032354	0.000007383
660	0.000056892	0.000068183	0.000035394	0.000005429	0.000028446	0.000006514
670	0.000064491	0.000079365	0.000040389	0.00000456	0.00003344	0.000004995
680	0.000056023	0.0000703	0.000033223	0.000005428	0.000029097	0.000003909
690	0.000056023	0.000069594	0.000040171	0.000003474	0.000029097	0.000004126
700	0.000155909	0.000136474	0.000047337	0.000006515	0.000037566	0.00000608
710	0.000097497	0.000095597	0.000039737	0.00000456	0.000033006	0.000004342
720	0.000064275	0.00010146	0.000038217	0.000006297	0.000030617	0.000005211
730	0.000059714	0.000073611	0.000038217	0.00000304	0.000030183	0.000003909
740	0.0000608	0.000136962	0.00004256	0.000004995	0.000032354	0.000009988
750	0.000067531	0.000083274	0.000041692	0.000006948	0.000033006	0.000007817
760	0.00007144	0.000076108	0.000038652	0.000002823	0.000032137	0.000003257
770	0.000059931	0.000074208	0.00003648	0.000002823	0.000030617	0.00000304
780	0.000064274	0.000081265	0.000039303	0.000003691	0.000033006	0.00000456
790	0.000062103	0.000077085	0.000039086	0.000003909	0.000031051	0.000003691
800	0.000062754	0.000078443	0.000039303	0.000003691	0.000031486	0.000003475
810	0.000071223	0.000082514	0.000042777	0.000007166	0.000042777	0.000006949
820	0.00007448	0.000083383	0.000042343	0.000007817	0.000044948	0.000007817
830	0.000069269	0.000085934	0.000041909	0.000003474	0.000035394	0.000003691
840	0.000073177	0.000093099	0.000047771	0.000003692	0.000036263	0.000003474
850	0.000068182	0.000085554	0.000041474	0.000003257	0.000034092	0.000003691
860	0.000072525	0.00009766	0.000042777	0.000011292	0.000035612	0.000010206
870	0.000084251	0.00009766	0.000050812	0.000005646	0.000040389	0.000005863
