Texas Holdum
Cards;Chance
[Jack of Spades, 3 of Clubs, Jack of Spades, 3 of Clubs]0.0
[7 of Hearts, 3 of Diamonds, 7 of Hearts, 7 of Clubs]16.0
[Queen of Spades, 5 of Diamonds, Queen of Spades, 4 of Hearts]30.0
[Ace of Hearts, 8 of Diamonds, Ace of Hearts, 10 of Diamonds]25.0
[5 of Diamonds, Queen of Clubs, 5 of Diamonds, 3 of Hearts]24.0
[7 of Hearts, Ace of Diamonds, 7 of Hearts, 10 of Clubs]34.0
[10 of Diamonds, 10 of Clubs, 10 of Diamonds, 4 of Hearts]77.0
[2 of Clubs, 3 of Clubs, 2 of Clubs, 10 of Clubs]27.0
[6 of Diamonds, 8 of Diamonds, 6 of Diamonds, Jack of Diamonds]26.0
[King of Diamonds, 2 of Spades, King of Diamonds, 9 of Hearts]22.0
[5 of Spades, Queen of Hearts, 5 of Spades, Ace of Hearts]19.0
[Ace of Spades, King of Hearts, Ace of Spades, 2 of Diamonds]23.0
[4 of Clubs, Queen of Spades, 4 of Clubs, Ace of Hearts]41.0
[2 of Clubs, 3 of Clubs, 2 of Clubs, 3 of Diamonds]6.0
[2 of Spades, 9 of Hearts, 2 of Spades, 5 of Hearts]18.0
[2 of Diamonds, 5 of Clubs, 2 of Diamonds, 3 of Diamonds]31.0
[King of Diamonds, 9 of Hearts, King of Diamonds, 8 of Hearts]25.0
[10 of Hearts, 3 of Spades, 10 of Hearts, 6 of Spades]20.0
[King of Hearts, 6 of Spades, King of Hearts, 7 of Hearts]10.0
[7 of Clubs, 9 of Hearts, 7 of Clubs, 10 of Diamonds]21.0
[8 of Clubs, 10 of Diamonds, 8 of Clubs, 8 of Hearts]45.0
[Queen of Spades, 7 of Clubs, Queen of Spades, 9 of Spades]16.0
[9 of Diamonds, 5 of Hearts, 9 of Diamonds, 3 of Hearts]22.0
[8 of Clubs, 10 of Spades, 8 of Clubs, 2 of Diamonds]41.0
[6 of Hearts, Queen of Diamonds, 6 of Hearts, 4 of Hearts]33.0
[Jack of Diamonds, Ace of Diamonds, Jack of Diamonds, 7 of Hearts]34.0
[5 of Diamonds, 2 of Clubs, 5 of Diamonds, 4 of Clubs]28.999999999999996
[Ace of Hearts, 10 of Hearts, Ace of Hearts, Queen of Hearts]30.0
[Queen of Spades, 2 of Diamonds, Queen of Spades, 4 of Hearts]19.0
[2 of Diamonds, Ace of Diamonds, 2 of Diamonds, 10 of Spades]55.00000000000001
[8 of Diamonds, King of Diamonds, 8 of Diamonds, 5 of Spades]32.0
[10 of Diamonds, 4 of Clubs, 7 of Diamonds, 2 of Hearts]45.0
[10 of Hearts, 7 of Diamonds, 10 of Hearts, 2 of Hearts]32.0
[Jack of Clubs, Jack of Spades, Jack of Clubs, Queen of Clubs]55.00000000000001
[9 of Clubs, 7 of Diamonds, 9 of Clubs, 10 of Clubs]18.0
[Jack of Spades, 2 of Hearts, Jack of Spades, 4 of Spades]28.999999999999996
[Ace of Clubs, Jack of Spades, Ace of Clubs, 2 of Clubs]28.999999999999996
[10 of Hearts, 2 of Hearts, 10 of Hearts, 4 of Spades]21.0
[6 of Clubs, 9 of Spades, 6 of Clubs, 3 of Spades]46.0
[6 of Spades, Jack of Diamonds, 6 of Spades, 7 of Spades]34.0
[Jack of Spades, Ace of Hearts, Jack of Spades, 3 of Hearts]43.0
[2 of Hearts, 3 of Spades, 2 of Hearts, 6 of Hearts]31.0
[10 of Diamonds, King of Hearts, 10 of Diamonds, Jack of Hearts]36.0
[4 of Spades, 8 of Spades, 4 of Spades, 6 of Spades]21.0
